geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
hsa04668	TNF signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04668+10000+1435+1906+2921+329+3383+3456+3569+3600+3976+4318+4792+5291+5595+5606+5743+5970+6352+6364+7128+7185+840+9586	105	23	4.452542653635912	5.165587797619048	3.969680140158971e-11	1.2464795640099169e-8	10000;1435;1906;2921;329;3383;3456;3569;3600;3976;4318;4792;5291;5595;5606;5743;5970;6352;6364;7128;7185;840;9586	TRAF1;CCL20;TNFAIP3;NFKBIA;CSF1;IL6;AKT3;CCL5;CXCL3;PTGS2;ICAM1;IFNB1;MMP9;IL15;RELA;LIF;MAP2K3;EDN1;PIK3CB;CREB5;MAPK3;CASP7;BIRC2
hsa04933	AGE-RAGE signaling pathway in diabetic complications	http://www.kegg.jp/kegg-bin/show_pathway?hsa04933+10000+1277+1906+2152+3383+3552+3569+3717+4772+5054+5291+5292+5580+5595+5970+6776	83	16	3.5196289547788635	4.5459337349397595	2.7553531278812216e-7	4.325904410773518e-5	10000;1277;1906;2152;3383;3552;3569;3717;4772;5054;5291;5292;5580;5595;5970;6776	F3;PRKCD;IL6;AKT3;ICAM1;NFATC1;JAK2;RELA;SERPINE1;EDN1;PIK3CB;IL1A;PIM1;MAPK3;STAT5A;COL1A1
hsa04060	Cytokine-cytokine receptor interaction	http://www.kegg.jp/kegg-bin/show_pathway?hsa04060+1435+1440+23529+246778+2833+2921+3456+3552+3561+3569+3574+3600+3604+3606+3624+3976+414062+5618+56300+6352+6364+6368+654+659+729230+7293+8740+958	256	28	10.855723041245652	2.57928466796875	2.9508886125739764e-6	3.088596747827429e-4	1435;1440;23529;246778;2833;2921;3456;3552;3561;3569;3574;3600;3604;3606;3624;3976;414062;5618;56300;6352;6364;6368;654;659;729230;7293;8740;958	CCL20;INHBA;CCL3L3;CSF1;PRLR;IL6;CCL5;CXCL3;TNFSF14;IL7;IL27;IFNB1;IL36G;IL15;TNFRSF4;IL2RG;CSF3;LIF;TNFRSF9;CLCF1;IL1A;BMP6;CCL23;IL18;CCR2;CD40;CXCR3;BMPR2
hsa04657	IL-17 signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04657+10758+1440+29110+2921+3569+4318+4792+5595+5743+5970+6364+7128+8061	79	13	3.3500082822594	3.880587420886076	2.276379462906597e-5	0.001336518538743852	10758;1440;29110;2921;3569;4318;4792;5595;5743;5970;6364;7128;8061	CCL20;TNFAIP3;TBK1;NFKBIA;IL6;CXCL3;PTGS2;TRAF3IP2;MMP9;RELA;CSF3;FOSL1;MAPK3
hsa04062	Chemokine signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04062+10000+2791+2793+2833+2921+3717+414062+4792+5291+5580+5595+5829+5880+5970+6352+6364+6368+6714+673+729230	169	20	7.166473413947324	2.790772928994083	2.6402819222726137e-5	0.001336518538743852	10000;2791;2793;2833;2921;3717;414062;4792;5291;5580;5595;5829;5880;5970;6352;6364;6368;6714;673;729230	CCL20;NFKBIA;CCL3L3;PRKCD;AKT3;CCL5;CXCL3;SRC;JAK2;PXN;RELA;RAC2;BRAF;PIK3CB;GNGT2;MAPK3;CCL23;CCR2;GNG11;CXCR3
hsa04210	Apoptosis	http://www.kegg.jp/kegg-bin/show_pathway?hsa04210+10000+1508+1647+3002+329+4170+4616+4792+5291+5366+5595+597+5970+7185+824+835+840	130	17	5.512671856882557	3.083804086538462	2.9794999271359757e-5	0.001336518538743852	10000;1508;1647;3002;329;4170;4616;4792;5291;5366;5595;597;5970;7185;824;835;840	TRAF1;NFKBIA;GADD45B;PMAIP1;AKT3;CAPN2;CTSB;MCL1;RELA;PIK3CB;BCL2A1;GZMB;GADD45A;MAPK3;CASP7;BIRC2;CASP2
hsa05418	Fluid shear stress and atherosclerosis	http://www.kegg.jp/kegg-bin/show_pathway?hsa05418+10000+1535+1843+1906+2817+3383+3552+4318+4688+5291+5562+5880+5970+6385+659+6714+7295	130	17	5.512671856882557	3.083804086538462	2.9794999271359757e-5	0.001336518538743852	10000;1535;1843;1906;2817;3383;3552;4318;4688;5291;5562;5880;5970;6385;659;6714;7295	SDC4;AKT3;ICAM1;CYBA;SRC;MMP9;GPC1;NCF2;TXN;RELA;RAC2;EDN1;PIK3CB;IL1A;PRKAA1;DUSP1;BMPR2
hsa05134	Legionellosis	http://www.kegg.jp/kegg-bin/show_pathway?hsa05134+1915+2921+3303+3569+3606+4791+4792+5970+718+840	51	10	2.1626635746231573	4.6239276960784315	4.325102314761686e-5	0.0016976026585439619	1915;2921;3303;3569;3606;4791;4792;5970;718;840	NFKB2;NFKBIA;IL6;CXCL3;EEF1A1;HSPA1A;RELA;C3;IL18;CASP7
hsa05167	Kaposi sarcoma-associated herpesvirus infection	http://www.kegg.jp/kegg-bin/show_pathway?hsa05167+10000+1827+2791+2793+29110+2921+3383+3456+3569+3717+4772+4792+5291+5595+5743+5970+6714+718+7538	170	19	7.20887858207719	2.635638786764706	9.289383485766578e-5	0.0032409626828118947	10000;1827;2791;2793;29110;2921;3383;3456;3569;3717;4772;4792;5291;5595;5743;5970;6714;718;7538	TBK1;NFKBIA;RCAN1;IL6;AKT3;CXCL3;PTGS2;ICAM1;NFATC1;SRC;IFNB1;JAK2;RELA;ZFP36;PIK3CB;C3;GNGT2;MAPK3;GNG11
hsa04621	NOD-like receptor signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04621+115362+1508+1535+2634+2635+29110+2921+329+3456+3569+3606+4792+5580+5595+5970+6352+7128+7295	158	18	6.7000165645188	2.6865605221518987	1.1113539223184254e-4	0.0034896513160798557	115362;1508;1535;2634;2635;29110;2921;329;3456;3569;3606;4792;5580;5595;5970;6352;7128;7295	TNFAIP3;TBK1;NFKBIA;PRKCD;IL6;CCL5;CXCL3;GBP2;CYBA;IFNB1;CTSB;TXN;RELA;GBP5;GBP3;MAPK3;IL18;BIRC2
