geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0061687	detoxification of inorganic compound	http://amigo.geneontology.org/amigo/term/GO:0061687	12	6	0.2173719376391982	27.602459016393443	2.8030447074556264e-8	7.571154188756868e-5	4489;4493;4494;4496;4499;7779	MT1H;MT1M;MT1F;MT1E;MT1A;SLC30A1
GO:0006882	cellular zinc ion homeostasis	http://amigo.geneontology.org/amigo/term/GO:0006882	29	8	0.5253155159613957	15.228942905596382	3.194152387031579e-8	7.571154188756868e-5	4489;4493;4494;4496;4499;6279;6280;7779	MT1H;MT1M;MT1F;MT1E;MT1A;S100A9;SLC30A1;S100A8
GO:0055069	zinc ion homeostasis	http://amigo.geneontology.org/amigo/term/GO:0055069	30	8	0.5434298440979956	14.721311475409836	4.287983312867283e-8	7.571154188756868e-5	4489;4493;4494;4496;4499;6279;6280;7779	MT1H;MT1M;MT1F;MT1E;MT1A;S100A9;SLC30A1;S100A8
GO:0097501	stress response to metal ion	http://amigo.geneontology.org/amigo/term/GO:0097501	13	6	0.23548626577579806	25.479192938209334	5.126903124264004e-8	7.571154188756868e-5	4489;4493;4494;4496;4499;7779	MT1H;MT1M;MT1F;MT1E;MT1A;SLC30A1
GO:0046916	cellular transition metal ion homeostasis	http://amigo.geneontology.org/amigo/term/GO:0046916	91	12	1.6484038604305866	7.279769410916951	8.480248325781758e-8	1.001856537207857e-4	3077;4489;4493;4494;4496;4499;6279;6280;6556;7779;10058;84317	MT1H;MT1M;MT1F;MT1E;MT1A;S100A9;SLC30A1;ABCB6;HFE;SLC11A1;S100A8;CCDC115
GO:0043299	leukocyte degranulation	http://amigo.geneontology.org/amigo/term/GO:0043299	482	27	8.73110616184113	3.0923916740357797	1.8983744654033075e-7	1.8689496611895562e-4	427;929;1118;2207;2215;2358;2519;3055;3903;4033;4126;5547;6036;6279;6280;6556;7226;7305;8635;8836;8876;9846;11010;79930;80331;114790;154664	RNASE2;HCK;VNN1;LAIR1;MANBA;ASAH1;ABCA13;FCGR3B;S100A9;GAB2;SLC11A1;FPR2;TRPM2;TYROBP;FUCA2;FCER1G;LRMP;PRCP;S100A8;RNASET2;DNAJC5;GLIPR1;DOK3;STK11IP;CD14;CHIT1;GGH
GO:0002275	myeloid cell activation involved in immune response	http://amigo.geneontology.org/amigo/term/GO:0002275	492	27	8.912249443207127	3.0295381847261096	2.85945177314062e-7	2.4129688034202346e-4	427;929;1118;2207;2215;2358;2519;3903;4033;4126;5547;6036;6279;6280;6556;7226;7305;8291;8635;8836;8876;9846;11010;79930;80331;114790;154664	RNASE2;VNN1;LAIR1;MANBA;ASAH1;ABCA13;FCGR3B;S100A9;DYSF;GAB2;SLC11A1;FPR2;TRPM2;TYROBP;FUCA2;FCER1G;LRMP;PRCP;S100A8;RNASET2;DNAJC5;GLIPR1;DOK3;STK11IP;CD14;CHIT1;GGH
GO:0043312	neutrophil degranulation	http://amigo.geneontology.org/amigo/term/GO:0043312	442	25	8.006533036377135	3.1224501149766333	4.645968383343302e-7	3.4304669050511105e-4	427;929;1118;2207;2215;2358;2519;3903;4033;4126;5547;6036;6279;6280;6556;7226;7305;8635;8836;8876;11010;79930;80331;114790;154664	RNASE2;VNN1;LAIR1;MANBA;ASAH1;ABCA13;FCGR3B;S100A9;SLC11A1;FPR2;TRPM2;TYROBP;FUCA2;FCER1G;LRMP;PRCP;S100A8;RNASET2;DNAJC5;GLIPR1;DOK3;STK11IP;CD14;CHIT1;GGH
GO:0002283	neutrophil activation involved in immune response	http://amigo.geneontology.org/amigo/term/GO:0002283	445	25	8.060876020786933	3.1013998894824093	5.268238951749993e-7	3.4577208319985786e-4	427;929;1118;2207;2215;2358;2519;3903;4033;4126;5547;6036;6279;6280;6556;7226;7305;8635;8836;8876;11010;79930;80331;114790;154664	RNASE2;VNN1;LAIR1;MANBA;ASAH1;ABCA13;FCGR3B;S100A9;SLC11A1;FPR2;TRPM2;TYROBP;FUCA2;FCER1G;LRMP;PRCP;S100A8;RNASET2;DNAJC5;GLIPR1;DOK3;STK11IP;CD14;CHIT1;GGH
GO:0042119	neutrophil activation	http://amigo.geneontology.org/amigo/term/GO:0042119	453	25	8.205790645879732	3.0466290305070025	7.323131878678169e-7	3.608381260318858e-4	427;929;1118;2207;2215;2358;2519;3903;4033;4126;5547;6036;6279;6280;6556;7226;7305;8635;8836;8876;11010;79930;80331;114790;154664	RNASE2;VNN1;LAIR1;MANBA;ASAH1;ABCA13;FCGR3B;S100A9;SLC11A1;FPR2;TRPM2;TYROBP;FUCA2;FCER1G;LRMP;PRCP;S100A8;RNASET2;DNAJC5;GLIPR1;DOK3;STK11IP;CD14;CHIT1;GGH
