userId	geneSymbol	geneName	entrezgene	gLink
MT1H	MT1H	metallothionein 1H	4496	https://www.ncbi.nlm.nih.gov/gene/?term=4496
PNKD	PNKD	PNKD, MBL domain containing	25953	https://www.ncbi.nlm.nih.gov/gene/?term=25953
BBS5	BBS5	Bardet-Biedl syndrome 5	129880	https://www.ncbi.nlm.nih.gov/gene/?term=129880
MT1M	MT1M	metallothionein 1M	4499	https://www.ncbi.nlm.nih.gov/gene/?term=4499
LOC101929270	LOC101929270	uncharacterized LOC101929270	101929270	https://www.ncbi.nlm.nih.gov/gene/?term=101929270
MT1F	MT1F	metallothionein 1F	4494	https://www.ncbi.nlm.nih.gov/gene/?term=4494
PTGES	PTGES	prostaglandin E synthase	9536	https://www.ncbi.nlm.nih.gov/gene/?term=9536
LOC101928389	LOC101928389	uncharacterized LOC101928389	101928389	https://www.ncbi.nlm.nih.gov/gene/?term=101928389
LOC101930275	LOC101930275	uncharacterized LOC101930275	101930275	https://www.ncbi.nlm.nih.gov/gene/?term=101930275
FUT7	FUT7	fucosyltransferase 7	2529	https://www.ncbi.nlm.nih.gov/gene/?term=2529
GUCY1B2	GUCY1B2	guanylate cyclase 1 soluble subunit beta 2 (pseudogene)	2974	https://www.ncbi.nlm.nih.gov/gene/?term=2974
SIRPB2	SIRPB2	signal regulatory protein beta 2	284759	https://www.ncbi.nlm.nih.gov/gene/?term=284759
TMEM86A	TMEM86A	transmembrane protein 86A	144110	https://www.ncbi.nlm.nih.gov/gene/?term=144110
LY75-CD302	LY75-CD302	LY75-CD302 readthrough	100526664	https://www.ncbi.nlm.nih.gov/gene/?term=100526664
TMEM14C	TMEM14C	transmembrane protein 14C	51522	https://www.ncbi.nlm.nih.gov/gene/?term=51522
RNASE2	RNASE2	ribonuclease A family member 2	6036	https://www.ncbi.nlm.nih.gov/gene/?term=6036
LOC101927608	LOC101927608	uncharacterized LOC101927608	101927608	https://www.ncbi.nlm.nih.gov/gene/?term=101927608
LIMS1	LIMS1	LIM zinc finger domain containing 1	3987	https://www.ncbi.nlm.nih.gov/gene/?term=3987
C9orf131	C9orf131	chromosome 9 open reading frame 131	138724	https://www.ncbi.nlm.nih.gov/gene/?term=138724
PRL	PRL	prolactin	5617	https://www.ncbi.nlm.nih.gov/gene/?term=5617
CD300LD	CD300LD	CD300 molecule like family member d	100131439	https://www.ncbi.nlm.nih.gov/gene/?term=100131439
LINC01094	LINC01094	long intergenic non-protein coding RNA 1094	100505702	https://www.ncbi.nlm.nih.gov/gene/?term=100505702
SPATC1	SPATC1	spermatogenesis and centriole associated 1	375686	https://www.ncbi.nlm.nih.gov/gene/?term=375686
WBP1L	WBP1L	WW domain binding protein 1 like	54838	https://www.ncbi.nlm.nih.gov/gene/?term=54838
LOC101928021	LOC101928021	uncharacterized LOC101928021	101928021	https://www.ncbi.nlm.nih.gov/gene/?term=101928021
MT1E	MT1E	metallothionein 1E	4493	https://www.ncbi.nlm.nih.gov/gene/?term=4493
GRASP	GRASP	general receptor for phosphoinositides 1 associated scaffold protein	160622	https://www.ncbi.nlm.nih.gov/gene/?term=160622
GPR162	GPR162	G protein-coupled receptor 162	27239	https://www.ncbi.nlm.nih.gov/gene/?term=27239
CD14	CD14	CD14 molecule	929	https://www.ncbi.nlm.nih.gov/gene/?term=929
MIR1262	MIR1262	microRNA 1262	100302279	https://www.ncbi.nlm.nih.gov/gene/?term=100302279
GOLGB1	GOLGB1	golgin B1	2804	https://www.ncbi.nlm.nih.gov/gene/?term=2804
MT1L	MT1L	metallothionein 1L, pseudogene	4500	https://www.ncbi.nlm.nih.gov/gene/?term=4500
CXCL5	CXCL5	C-X-C motif chemokine ligand 5	6374	https://www.ncbi.nlm.nih.gov/gene/?term=6374
CHPF	CHPF	chondroitin polymerizing factor	79586	https://www.ncbi.nlm.nih.gov/gene/?term=79586
CES1	CES1	carboxylesterase 1	1066	https://www.ncbi.nlm.nih.gov/gene/?term=1066
MT1IP	MT1IP	metallothionein 1I, pseudogene	644314	https://www.ncbi.nlm.nih.gov/gene/?term=644314
FAM161A	FAM161A	FAM161A, centrosomal protein	84140	https://www.ncbi.nlm.nih.gov/gene/?term=84140
MANBA	MANBA	mannosidase beta	4126	https://www.ncbi.nlm.nih.gov/gene/?term=4126
CYP1B1-AS1	CYP1B1-AS1	CYP1B1 antisense RNA 1	285154	https://www.ncbi.nlm.nih.gov/gene/?term=285154
SORT1	SORT1	sortilin 1	6272	https://www.ncbi.nlm.nih.gov/gene/?term=6272
LOC100506100	LOC100506100	uncharacterized LOC100506100	100506100	https://www.ncbi.nlm.nih.gov/gene/?term=100506100
RNU6-69P	RNU6-69P	RNA, U6 small nuclear 69, pseudogene	100873773	https://www.ncbi.nlm.nih.gov/gene/?term=100873773
