geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
hsa05168	Herpes simplex infection	http://www.kegg.jp/kegg-bin/show_pathway?hsa05168+10379+10482+23586+29110+3054+3107+3133+3434+3456+3569+3665+3717+4792+4938+4939+4940+5371+5430+6352+6427+6430+6672+6772+8740+8764+8772+9021	166	27	6.46181878416432	4.1783901563701615	1.43494771620567e-10	3.3618696271275894e-8	10379;10482;23586;29110;3054;3107;3133;3434;3456;3569;3665;3717;4792;4938;4939;4940;5371;5430;6352;6427;6430;6672;6772;8740;8764;8772;9021	IL6;OAS2;TNFSF14;NFKBIA;IRF7;SOCS3;OAS3;IFIT1;FADD;OAS1;HLA-E;NXF1;DDX58;IFNB1;SRSF5;IRF9;TNFRSF14;STAT1;TBK1;CCL5;SP100;PML;POLR2A;JAK2;HCFC1;HLA-C;SRSF2
hsa05164	Influenza A	http://www.kegg.jp/kegg-bin/show_pathway?hsa05164+10379+10482+207+23586+29110+3310+3456+3552+3569+3665+3717+4792+4938+4939+4940+5045+5371+5606+5894+6352+6772+7706+834+8743+9021+91543	157	26	6.111479211528906	4.254289199078466	2.141318233839229e-10	3.3618696271275894e-8	10379;10482;207;23586;29110;3310;3456;3552;3569;3665;3717;4792;4938;4939;4940;5045;5371;5606;5894;6352;6772;7706;834;8743;9021;91543	IL6;RSAD2;OAS2;FURIN;NFKBIA;IRF7;SOCS3;OAS3;MAP2K3;IL1A;OAS1;TRIM25;NXF1;DDX58;IFNB1;AKT1;IRF9;STAT1;TBK1;CCL5;TNFSF10;RAF1;HSPA6;PML;JAK2;CASP1
hsa05169	Epstein-Barr virus infection	http://www.kegg.jp/kegg-bin/show_pathway?hsa05169+10379+207+23586+29110+3107+3133+3456+3569+3665+4193+4609+4616+4791+4792+4938+4939+4940+5606+567+6772+7128+8772+8900+9636	184	24	7.16249792943515	3.3507863089731726	1.381267362710048e-7	1.1571141140975794e-5	10379;207;23586;29110;3107;3133;3456;3569;3665;4193;4609;4616;4791;4792;4938;4939;4940;5606;567;6772;7128;8772;8900;9636	IL6;GADD45B;ISG15;OAS2;MYC;NFKBIA;IRF7;OAS3;MAP2K3;TNFAIP3;FADD;OAS1;HLA-E;CCNA1;MDM2;DDX58;IFNB1;B2M;AKT1;IRF9;STAT1;TBK1;NFKB2;HLA-C
hsa04621	NOD-like receptor signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04621+10379+10392+115362+1508+2634+29110+331+3456+3569+3665+440068+4792+4938+4939+4940+5027+5580+6352+6772+7128+834+8772	158	22	6.150405830710618	3.576999730676003	1.4740307185956425e-7	1.1571141140975794e-5	10379;10392;115362;1508;2634;29110;331;3456;3569;3665;440068;4792;4938;4939;4940;5027;5580;6352;6772;7128;834;8772	IL6;OAS2;XIAP;P2RX7;PRKCD;NFKBIA;IRF7;OAS3;GBP2;TNFAIP3;CARD17;FADD;OAS1;GBP5;IFNB1;IRF9;CTSB;STAT1;TBK1;CCL5;NOD1;CASP1
hsa05163	Human cytomegalovirus infection	http://www.kegg.jp/kegg-bin/show_pathway?hsa05163+10672+1234+1499+207+29110+3107+3133+3456+3569+3587+414062+4193+4609+468+4792+567+5734+5743+5829+5880+5894+6352+801+808+8772	202	25	7.86317707470598	3.179376448283126	2.1077640011135657e-7	1.3236757926993192e-5	10672;1234;1499;207;29110;3107;3133;3456;3569;3587;414062;4193;4609;468;4792;567;5734;5743;5829;5880;5894;6352;801;808;8772	CCL3L3;IL6;RAC2;MYC;NFKBIA;CALM1;FADD;HLA-E;IL10RA;MDM2;IFNB1;PTGER4;CCR5;B2M;AKT1;CTNNB1;TBK1;PXN;GNA13;CCL5;ATF4;CALM3;PTGS2;RAF1;HLA-C
hsa05167	Kaposi sarcoma-associated herpesvirus infection	http://www.kegg.jp/kegg-bin/show_pathway?hsa05167+100507436+10379+1234+1499+207+29110+3107+3133+3456+3569+3665+3717+4609+4792+5743+5894+6772+7538+801+808+8772	170	21	6.617525260891171	3.173391739674593	2.1598006199052833e-6	1.1302956577504317e-4	100507436;10379;1234;1499;207;29110;3107;3133;3456;3569;3665;3717;4609;4792;5743;5894;6772;7538;801;808;8772	IL6;MYC;NFKBIA;IRF7;CALM1;FADD;HLA-E;IFNB1;CCR5;AKT1;IRF9;STAT1;CTNNB1;TBK1;MICA;CALM3;PTGS2;RAF1;ZFP36;JAK2;HLA-C
hsa05162	Measles	http://www.kegg.jp/kegg-bin/show_pathway?hsa05162+10379+207+23586+29110+3310+3456+3552+3569+3665+3717+4792+4938+4939+4940+6772+7128+8743	119	17	4.63226768262382	3.6699088145896654	2.8493026118514564e-6	1.2781157430305102e-4	10379;207;23586;29110;3310;3456;3552;3569;3665;3717;4792;4938;4939;4940;6772;7128;8743	IL6;OAS2;NFKBIA;IRF7;OAS3;TNFAIP3;IL1A;OAS1;DDX58;IFNB1;AKT1;IRF9;STAT1;TBK1;TNFSF10;HSPA6;JAK2
hsa04668	TNF signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04668+1051+1435+1906+207+3456+3569+3659+468+4792+5606+5743+6352+7128+8772+9021	105	15	4.087295014079841	3.6699088145896654	1.1134317708494379e-5	4.370219700584044e-4	1051;1435;1906;207;3456;3569;3659;468;4792;5606;5743;6352;7128;8772;9021	IL6;EDN1;CSF1;NFKBIA;SOCS3;MAP2K3;TNFAIP3;FADD;IFNB1;AKT1;CEBPB;CCL5;ATF4;PTGS2;IRF1
hsa05160	Hepatitis C	http://www.kegg.jp/kegg-bin/show_pathway?hsa05160+10379+207+23586+29110+3434+3456+3659+3665+4792+4938+4939+4940+5894+6772+9021	113	15	4.398707967533543	3.4100922613443796	2.7408512559334852e-5	8.723157958113958e-4	10379;207;23586;29110;3434;3456;3659;3665;4792;4938;4939;4940;5894;6772;9021	OAS2;NFKBIA;IRF7;SOCS3;OAS3;IFIT1;OAS1;DDX58;IFNB1;AKT1;IRF9;STAT1;TBK1;RAF1;IRF1
hsa04625	C-type lectin receptor signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04625+10379+207+3569+3659+4193+4791+4792+5580+5743+5894+6772+801+808+834	100	14	3.892661918171277	3.596510638297872	2.7780757828388403e-5	8.723157958113958e-4	10379;207;3569;3659;4193;4791;4792;5580;5743;5894;6772;801;808;834	IL6;PRKCD;NFKBIA;CALM1;MDM2;AKT1;IRF9;STAT1;CALM3;PTGS2;RAF1;NFKB2;IRF1;CASP1
