geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0043312	neutrophil degranulation	http://amigo.geneontology.org/amigo/term/GO:0043312	442	31	9.417520415738679	3.291736957447144	5.429327210038082e-9	1.4809109663227462e-5	55;383;427;671;820;929;948;967;1075;1378;1511;1794;3074;3689;4033;4126;4317;5660;5912;6280;6556;6947;7077;7226;7305;8566;8635;8876;11322;84106;374403	CR1;PRAM1;ACPP;ASAH1;CTSG;LRMP;RAP2B;TRPM2;TBC1D10C;VNN1;DOCK2;CD63;SLC11A1;CAMP;S100A9;PDXK;TYROBP;CD36;HEXB;CTSC;CD14;TIMP2;ARG1;TCN1;RNASET2;MANBA;ITGB2;MMP8;PSAP;TMC6;BPI
GO:0002283	neutrophil activation involved in immune response	http://amigo.geneontology.org/amigo/term/GO:0002283	445	31	9.481440237564959	3.269545472340759	6.372172789426145e-9	1.4809109663227462e-5	55;383;427;671;820;929;948;967;1075;1378;1511;1794;3074;3689;4033;4126;4317;5660;5912;6280;6556;6947;7077;7226;7305;8566;8635;8876;11322;84106;374403	CR1;PRAM1;ACPP;ASAH1;CTSG;LRMP;RAP2B;TRPM2;TBC1D10C;VNN1;DOCK2;CD63;SLC11A1;CAMP;S100A9;PDXK;TYROBP;CD36;HEXB;CTSC;CD14;TIMP2;ARG1;TCN1;RNASET2;MANBA;ITGB2;MMP8;PSAP;TMC6;BPI
GO:0042119	neutrophil activation	http://amigo.geneontology.org/amigo/term/GO:0042119	453	31	9.651893095768374	3.2118051549484274	9.69467950362457e-9	1.4809109663227462e-5	55;383;427;671;820;929;948;967;1075;1378;1511;1794;3074;3689;4033;4126;4317;5660;5912;6280;6556;6947;7077;7226;7305;8566;8635;8876;11322;84106;374403	CR1;PRAM1;ACPP;ASAH1;CTSG;LRMP;RAP2B;TRPM2;TBC1D10C;VNN1;DOCK2;CD63;SLC11A1;CAMP;S100A9;PDXK;TYROBP;CD36;HEXB;CTSC;CD14;TIMP2;ARG1;TCN1;RNASET2;MANBA;ITGB2;MMP8;PSAP;TMC6;BPI
GO:0002446	neutrophil mediated immunity	http://amigo.geneontology.org/amigo/term/GO:0002446	455	31	9.694506310319227	3.1976873300915116	1.0749355516814774e-8	1.4809109663227462e-5	55;383;427;671;820;929;948;967;1075;1378;1511;1794;3074;3689;4033;4126;4317;5660;5912;6280;6556;6947;7077;7226;7305;8566;8635;8876;11322;84106;374403	CR1;PRAM1;ACPP;ASAH1;CTSG;LRMP;RAP2B;TRPM2;TBC1D10C;VNN1;DOCK2;CD63;SLC11A1;CAMP;S100A9;PDXK;TYROBP;CD36;HEXB;CTSC;CD14;TIMP2;ARG1;TCN1;RNASET2;MANBA;ITGB2;MMP8;PSAP;TMC6;BPI
GO:0036230	granulocyte activation	http://amigo.geneontology.org/amigo/term/GO:0036230	458	31	9.758426132145509	3.1767417798944053	1.2535220639264821e-8	1.4809109663227462e-5	55;383;427;671;820;929;948;967;1075;1378;1511;1794;3074;3689;4033;4126;4317;5660;5912;6280;6556;6947;7077;7226;7305;8566;8635;8876;11322;84106;374403	CR1;PRAM1;ACPP;ASAH1;CTSG;LRMP;RAP2B;TRPM2;TBC1D10C;VNN1;DOCK2;CD63;SLC11A1;CAMP;S100A9;PDXK;TYROBP;CD36;HEXB;CTSC;CD14;TIMP2;ARG1;TCN1;RNASET2;MANBA;ITGB2;MMP8;PSAP;TMC6;BPI
GO:0043299	leukocyte degranulation	http://amigo.geneontology.org/amigo/term/GO:0043299	482	31	10.269784706755754	3.0185637659577544	4.0779730925422086e-8	4.0147645096078044e-5	55;383;427;671;820;929;948;967;1075;1378;1511;1794;3074;3689;4033;4126;4317;5660;5912;6280;6556;6947;7077;7226;7305;8566;8635;8876;11322;84106;374403	CR1;PRAM1;ACPP;ASAH1;CTSG;LRMP;RAP2B;TRPM2;TBC1D10C;VNN1;DOCK2;CD63;SLC11A1;CAMP;S100A9;PDXK;TYROBP;CD36;HEXB;CTSC;CD14;TIMP2;ARG1;TCN1;RNASET2;MANBA;ITGB2;MMP8;PSAP;TMC6;BPI
GO:0002275	myeloid cell activation involved in immune response	http://amigo.geneontology.org/amigo/term/GO:0002275	492	31	10.482850779510022	2.9572108438854423	6.503183314077177e-8	5.487757690893412e-5	55;383;427;671;820;929;948;967;1075;1378;1511;1794;3074;3689;4033;4126;4317;5660;5912;6280;6556;6947;7077;7226;7305;8566;8635;8876;11322;84106;374403	CR1;PRAM1;ACPP;ASAH1;CTSG;LRMP;RAP2B;TRPM2;TBC1D10C;VNN1;DOCK2;CD63;SLC11A1;CAMP;S100A9;PDXK;TYROBP;CD36;HEXB;CTSC;CD14;TIMP2;ARG1;TCN1;RNASET2;MANBA;ITGB2;MMP8;PSAP;TMC6;BPI
GO:0019884	antigen processing and presentation of exogenous antigen	http://amigo.geneontology.org/amigo/term/GO:0019884	124	12	2.6420193021529323	4.541980442845904	1.3240344872711418e-5	0.009096518817559204	160;911;912;948;2210;3109;3122;3123;3127;4012;114876;130340	FCGR1B;CD36;CD1C;HLA-DRB5;HLA-DRB1;OSBPL1A;HLA-DMB;HLA-DRA;AP1S3;LNPEP;AP2A1;CD1D
GO:1901615	organic hydroxy compound metabolic process	http://amigo.geneontology.org/amigo/term/GO:1901615	425	24	9.055308092056421	2.6503791760606683	1.3859602058241549e-5	0.009096518817559204	32;949;2034;2819;3613;3689;4157;4801;5106;5153;5330;6799;6817;8566;10170;10404;10826;11160;25953;51706;54982;55902;114876;116255	ACACB;FAXDC2;PDE1B;IMPA2;CYB5R1;CPQ;ACSS2;GPD1;SULT1A1;DHRS9;PLCB2;PCK2;PDXK;EPAS1;MOGAT1;ERLIN2;CLN6;PNKD;OSBPL1A;MC1R;SCARB1;ITGB2;SULT1A2;NFYB
GO:0071549	cellular response to dexamethasone stimulus	http://amigo.geneontology.org/amigo/term/GO:0071549	30	6	0.6391982182628062	9.386759581881533	3.426972534703587e-5	0.020243126762494092	383;1978;2308;2706;5106;7023	EIF4EBP1;PCK2;TFAP4;FOXO1;ARG1;GJB2
