geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
hsa00790	Folate biosynthesis	http://www.kegg.jp/kegg-bin/show_pathway?hsa00790+231+55034+4338+6697+2356+5805+8644+121278	-0.7066268530337562	-1.8596747142567436	0.006211180111364016	0.1862677013194843	14	./Project_IK_0_vs_C_0_D12_gsea_GSEA/hsa00790.png	8	231;55034;4338;6697;2356;5805;8644;121278	AKR1B1;AKR1C3;FPGS;MOCOS;MOCS2;PTS;SPR;TPH2
hsa04657	IL-17 signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04657+4792+23118+7189+4318+29110+7128+6364	-0.4758439886563283	-1.690312251100003	0.010822510799085475	0.45490503940336363	45	./Project_IK_0_vs_C_0_D12_gsea_GSEA/hsa04657.png	7	4792;23118;7189;4318;29110;7128;6364	CCL20;MMP9;NFKBIA;TAB2;TBK1;TNFAIP3;TRAF6
hsa04913	Ovarian steroidogenesis	http://www.kegg.jp/kegg-bin/show_pathway?hsa04913+1588+654+8644+1545+1573+1543	-0.5568045281454492	-1.5402790915083144	0.040094339528079385	0.5107541491792225	16	./Project_IK_0_vs_C_0_D12_gsea_GSEA/hsa04913.png	6	1588;654;8644;1545;1573;1543	AKR1C3;BMP6;CYP19A1;CYP1A1;CYP1B1;CYP2J2
hsa05204	Chemical carcinogenesis	http://www.kegg.jp/kegg-bin/show_pathway?hsa05204+2947+1646+1545+2948+6799+1543+1577	-0.5068114702984661	-1.5749259946804732	0.03211009166947227	0.5910957456444942	24	./Project_IK_0_vs_C_0_D12_gsea_GSEA/hsa05204.png	7	2947;1646;1545;2948;6799;1543;1577	AKR1C2;CYP1A1;CYP1B1;CYP3A5;GSTM3;GSTM4;SULT1A2
hsa00650	Butanoate metabolism	http://www.kegg.jp/kegg-bin/show_pathway?hsa00650+116285+1962+64064	-0.5803833150414051	-1.544482165091576	0.035874439381447444	0.5923125698239682	14	./Project_IK_0_vs_C_0_D12_gsea_GSEA/hsa00650.png	3	116285;1962;64064	ACSM1;EHHADH;OXCT2
hsa04964	Proximal tubule bicarbonate reclamation	http://www.kegg.jp/kegg-bin/show_pathway?hsa04964+2744+27165+481+4190	-0.5869018049815973	-1.4064776004293613	0.1194331981387992	0.6734228361089075	10	./Project_IK_0_vs_C_0_D12_gsea_GSEA/hsa04964.png	4	2744;27165;481;4190	ATP1B1;GLS;GLS2;MDH1
hsa00630	Glyoxylate and dicarboxylate metabolism	http://www.kegg.jp/kegg-bin/show_pathway?hsa00630+4190+4191+55902+2731	-0.5169291591010794	-1.4659229533951537	0.061538461403212175	0.7181936997752693	20	./Project_IK_0_vs_C_0_D12_gsea_GSEA/hsa00630.png	4	4190;4191;55902;2731	ACSS2;GLDC;MDH1;MDH2
hsa00220	Arginine biosynthesis	http://www.kegg.jp/kegg-bin/show_pathway?hsa00220+2744+27165+383	-0.5640294630672271	-1.4093837709063537	0.09090909071231798	0.7273800537455841	11	./Project_IK_0_vs_C_0_D12_gsea_GSEA/hsa00220.png	3	2744;27165;383	ARG1;GLS;GLS2
hsa04060	Cytokine-cytokine receptor interaction	http://www.kegg.jp/kegg-bin/show_pathway?hsa04060+657+1439+3455+355+3624+2921+9966+133396+7293+654+414062+6362+2833+10220+652+1435+23529+3592+3454+27242+958+6366+6363+729230+970+6367+6355+3552+6352+5618+6364+56300	-0.37379199854389844	-1.5835982627692051	0.002493765579816046	0.7316545386837364	111	./Project_IK_0_vs_C_0_D12_gsea_GSEA/hsa04060.png	32	657;1439;3455;355;3624;2921;9966;133396;7293;654;414062;6362;2833;10220;652;1435;23529;3592;3454;27242;958;6366;6363;729230;970;6367;6355;3552;6352;5618;6364;56300	BMP4;BMP6;BMPR1A;CCL18;CCL19;CCL20;CCL21;CCL22;CCL3L3;CCL5;CCL8;CCR2;CD40;CD70;CLCF1;CSF1;CSF2RB;CXCL3;CXCR3;FAS;GDF11;IFNAR1;IFNAR2;IL12A;IL1A;IL31RA;IL36G;INHBA;PRLR;TNFRSF21;TNFRSF4;TNFSF15
hsa00601	Glycosphingolipid biosynthesis	http://www.kegg.jp/kegg-bin/show_pathway?hsa00601+2683+84002+2528	-0.5387227662168275	-1.369327189992006	0.12581344875094697	0.7692512857674849	12	./Project_IK_0_vs_C_0_D12_gsea_GSEA/hsa00601.png	3	2683;84002;2528	B3GNT5;B4GALT1;FUT6
hsa00140	Steroid hormone biosynthesis	http://www.kegg.jp/kegg-bin/show_pathway?hsa00140+8644+1646+1545+1543+1577	-0.5232028742350934	-1.4158379711559388	0.11697247679593469	0.7777274541971544	15	./Project_IK_0_vs_C_0_D12_gsea_GSEA/hsa00140.png	5	8644;1646;1545;1543;1577	AKR1C2;AKR1C3;CYP1A1;CYP1B1;CYP3A5
hsa04512	ECM-receptor interaction	http://www.kegg.jp/kegg-bin/show_pathway?hsa04512+3673+3693+3678+3675+2812+6385+3371+3909+256076+3913+1277+3696+6696	-0.408456936479693	-1.342409547838582	0.10425531892711634	0.7787006163919719	33	./Project_IK_0_vs_C_0_D12_gsea_GSEA/hsa04512.png	13	3673;3693;3678;3675;2812;6385;3371;3909;256076;3913;1277;3696;6696	COL1A1;COL6A5;GP1BB;ITGA2;ITGA3;ITGA5;ITGB5;ITGB8;LAMA3;LAMB2;SDC4;SPP1;TNC
