userId	geneSymbol	geneName	entrezgene	score	gLink
A2M	A2M	alpha-2-macroglobulin	2	-0.17189259661487	https://www.ncbi.nlm.nih.gov/gene/?term=2
AAAS	AAAS	aladin WD repeat nucleoporin	8086	-0.0482456581094875	https://www.ncbi.nlm.nih.gov/gene/?term=8086
AACS	AACS	acetoacetyl-CoA synthetase	65985	0.0456242347699385	https://www.ncbi.nlm.nih.gov/gene/?term=65985
AACSP1	AACSP1	acetoacetyl-CoA synthetase pseudogene 1	729522	0.082609111279056	https://www.ncbi.nlm.nih.gov/gene/?term=729522
AADAT	AADAT	aminoadipate aminotransferase	51166	0.0837332782399735	https://www.ncbi.nlm.nih.gov/gene/?term=51166
AAGAB	AAGAB	alpha and gamma adaptin binding protein	79719	0.0582925030131455	https://www.ncbi.nlm.nih.gov/gene/?term=79719
AAK1	AAK1	AP2 associated kinase 1	22848	-0.12676245627447	https://www.ncbi.nlm.nih.gov/gene/?term=22848
AAMP	AAMP	angio associated migratory cell protein	14	-0.123676578916162	https://www.ncbi.nlm.nih.gov/gene/?term=14
AAR2	AAR2	AAR2 splicing factor homolog	25980	0.0133988638179251	https://www.ncbi.nlm.nih.gov/gene/?term=25980
AARD	AARD	alanine and arginine rich domain containing protein	441376	-0.0570118101393064	https://www.ncbi.nlm.nih.gov/gene/?term=441376
AARS	AARS	alanyl-tRNA synthetase	16	-0.0191278827762331	https://www.ncbi.nlm.nih.gov/gene/?term=16
AARS2	AARS2	alanyl-tRNA synthetase 2, mitochondrial	57505	0.118710417620911	https://www.ncbi.nlm.nih.gov/gene/?term=57505
AARSD1	AARSD1	alanyl-tRNA synthetase domain containing 1	80755	-0.291870194986081	https://www.ncbi.nlm.nih.gov/gene/?term=80755
AASDHPPT	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	60496	0.0522820310026577	https://www.ncbi.nlm.nih.gov/gene/?term=60496
AASS	AASS	aminoadipate-semialdehyde synthase	10157	0.114790856172216	https://www.ncbi.nlm.nih.gov/gene/?term=10157
AATF	AATF	apoptosis antagonizing transcription factor	26574	-0.0186919666752603	https://www.ncbi.nlm.nih.gov/gene/?term=26574
ABCA1	ABCA1	ATP binding cassette subfamily A member 1	19	-0.104739238518432	https://www.ncbi.nlm.nih.gov/gene/?term=19
ABCA11P	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	79963	0.0360673859398765	https://www.ncbi.nlm.nih.gov/gene/?term=79963
ABCA13	ABCA13	ATP binding cassette subfamily A member 13	154664	-0.295411267927896	https://www.ncbi.nlm.nih.gov/gene/?term=154664
