geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
hsa04975	Fat digestion and absorption	http://www.kegg.jp/kegg-bin/show_pathway?hsa04975+10999+948+84649+391013+5322	-0.6659204378518956	-1.7083396644490765	0.008928571412627552	0.8345379344919786	13	./Project_IK_1_vs_C_1_gsea_GSEA/hsa04975.png	5	10999;948;84649;391013;5322	CD36;DGAT2;PLA2G2C;PLA2G5;SLC27A4
hsa05161	Hepatitis B	http://www.kegg.jp/kegg-bin/show_pathway?hsa05161+841+10000+3339+29110+54205+1654+207+114609+4893+9586+581+9134+1869+1147+4792+3716+3448+90993+3456	-0.31069370275632757	-1.191848190778548	0.14971751391282836	0.8957183695528501	100	./Project_IK_1_vs_C_1_gsea_GSEA/hsa05161.png	19	841;10000;3339;29110;54205;1654;207;114609;4893;9586;581;9134;1869;1147;4792;3716;3448;90993;3456	AKT1;AKT3;BAX;CASP8;CCNE2;CHUK;CREB3L1;CREB5;CYCS;DDX3X;E2F1;HSPG2;IFNA14;IFNB1;JAK1;NFKBIA;NRAS;TBK1;TIRAP
hsa00330	Arginine and proline metabolism	http://www.kegg.jp/kegg-bin/show_pathway?hsa00330+384+1160+29920+5033+8974+383	-0.3969376594616719	-1.1947600934815643	0.2233333329611111	0.9017484124331551	27	./Project_IK_1_vs_C_1_gsea_GSEA/hsa00330.png	6	384;1160;29920;5033;8974;383	ARG1;ARG2;CKMT2;P4HA1;P4HA2;PYCR2
hsa04350	TGF-beta signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04350+9765+5594+6667+652+4052+7048+3399+3625+92+8454+6199+1874+657+3398+4681+654+353500	-0.3383948043673662	-1.1780743742178235	0.20355411921881403	0.9027927598596257	53	./Project_IK_1_vs_C_1_gsea_GSEA/hsa04350.png	17	9765;5594;6667;652;4052;7048;3399;3625;92;8454;6199;1874;657;3398;4681;654;353500	ACVR2A;BMP4;BMP6;BMP8A;BMPR1A;CUL1;E2F4;ID2;ID3;INHBB;LTBP1;MAPK1;NBL1;RPS6KB2;SP1;TGFBR2;ZFYVE16
hsa04211	Longevity regulating pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04211+1977+115+108+10000+84335+7249+207+4893+9586+6199+581+1978+90993	-0.331266501954136	-1.1678385385888335	0.23262839844013838	0.912100236046123	58	./Project_IK_1_vs_C_1_gsea_GSEA/hsa04211.png	13	1977;115;108;10000;84335;7249;207;4893;9586;6199;581;1978;90993	ADCY2;ADCY9;AKT1;AKT1S1;AKT3;BAX;CREB3L1;CREB5;EIF4E;EIF4EBP1;NRAS;RPS6KB2;TSC2
hsa04725	Cholinergic synapse	http://www.kegg.jp/kegg-bin/show_pathway?hsa04725+596+5578+468+2353+817+3710+5594+3717+115+108+10000+43+2782+207+4893+9586+146850+1139+9132+90993	-0.3392845195983013	-1.1797385106998468	0.2312312308840372	0.9132970659854851	59	./Project_IK_1_vs_C_1_gsea_GSEA/hsa04725.png	20	596;5578;468;2353;817;3710;5594;3717;115;108;10000;43;2782;207;4893;9586;146850;1139;9132;90993	ACHE;ADCY2;ADCY9;AKT1;AKT3;ATF4;BCL2;CAMK2D;CHRNA7;CREB3L1;CREB5;FOS;GNB1;ITPR3;JAK2;KCNQ4;MAPK1;NRAS;PIK3R6;PRKCA
hsa05220	Chronic myeloid leukemia	http://www.kegg.jp/kegg-bin/show_pathway?hsa05220+5781+9846+5605+1398+1647+5594+2885+369+7048+10000+4616+207+4893+581+399694+613+1869+1147+4792	-0.34264089969395894	-1.195914158570102	0.19099378852330157	0.91640625	56	./Project_IK_1_vs_C_1_gsea_GSEA/hsa05220.png	19	5781;9846;5605;1398;1647;5594;2885;369;7048;10000;4616;207;4893;581;399694;613;1869;1147;4792	AKT1;AKT3;ARAF;BAX;BCR;CHUK;CRK;E2F1;GAB2;GADD45A;GADD45B;GRB2;MAP2K2;MAPK1;NFKBIA;NRAS;PTPN11;SHC4;TGFBR2
hsa05322	Systemic lupus erythematosus	http://www.kegg.jp/kegg-bin/show_pathway?hsa05322+3018+6737+3014+8347+8360+3119+8366+94239+3017+1511+6741+440689+8364+85236+55506+128312+8346+3113+1991	-0.32887670219394377	-1.1830883346584444	0.20440251540188284	0.9170323336188169	64	./Project_IK_1_vs_C_1_gsea_GSEA/hsa05322.png	19	3018;6737;3014;8347;8360;3119;8366;94239;3017;1511;6741;440689;8364;85236;55506;128312;8346;3113;1991	CTSG;ELANE;H2AFV;H2AFX;H2AFY2;HIST1H2BB;HIST1H2BC;HIST1H2BD;HIST1H2BI;HIST1H2BK;HIST1H4B;HIST1H4C;HIST1H4D;HIST2H2BF;HIST3H2BB;HLA-DPA1;HLA-DQB1;SSB;TRIM21
hsa00982	Drug metabolism	http://www.kegg.jp/kegg-bin/show_pathway?hsa00982+119391+373156+27306+4258+2947+54577+1577	-0.4447201429631172	-1.1978866938983703	0.24869565174139888	0.9279959627187653	18	./Project_IK_1_vs_C_1_gsea_GSEA/hsa00982.png	7	119391;373156;27306;4258;2947;54577;1577	CYP3A5;GSTK1;GSTM3;GSTO2;HPGDS;MGST2;UGT1A7
hsa03420	Nucleotide excision repair	http://www.kegg.jp/kegg-bin/show_pathway?hsa03420+4331+1069+902+7507+728340+5984+7508+1161+2074+5985+5886+2071+10714+5981	-0.36620271563189166	-1.1683158002908982	0.24271844620919344	0.92839483721296	36	./Project_IK_1_vs_C_1_gsea_GSEA/hsa03420.png	14	4331;1069;902;7507;728340;5984;7508;1161;2074;5985;5886;2071;10714;5981	CCNH;CETN2;ERCC3;ERCC6;ERCC8;GTF2H2C;MNAT1;POLD3;RAD23A;RFC1;RFC4;RFC5;XPA;XPC
