geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
hsa04668	TNF signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04668+10000+1435+1906+2921+3383+3569+3600+3725+3976+4318+4792+5291+5606+5743+5970+6352+6364+7128+7185	105	19	4.417757164154381	4.30082489688789	5.2291503571666453e-8	1.6419532121503266e-5	10000;1435;1906;2921;3383;3569;3600;3725;3976;4318;4792;5291;5606;5743;5970;6352;6364;7128;7185	TRAF1;TNFAIP3;CCL20;NFKBIA;PTGS2;MMP9;CSF1;ICAM1;AKT3;IL6;CXCL3;LIF;CCL5;MAP2K3;EDN1;IL15;RELA;PIK3CB;JUN
hsa04933	AGE-RAGE signaling pathway in diabetic complications	http://www.kegg.jp/kegg-bin/show_pathway?hsa04933+10000+1906+2152+3383+3569+3717+3725+4089+4772+5054+5291+5292+5580+5970+6776	83	15	3.4921318535696537	4.295370458210796	1.4143494200258289e-6	2.2205285894405513e-4	10000;1906;2152;3383;3569;3717;3725;4089;4772;5054;5291;5292;5580;5970;6776	F3;PRKCD;NFATC1;ICAM1;AKT3;IL6;EDN1;RELA;SERPINE1;STAT5A;PIK3CB;JAK2;JUN;PIM1;SMAD4
hsa04060	Cytokine-cytokine receptor interaction	http://www.kegg.jp/kegg-bin/show_pathway?hsa04060+1435+1440+23529+246778+2833+2921+3561+3569+3574+3592+3600+3604+3624+3976+414062+5618+56300+6352+6364+6368+650+658+659+7293+8740+958+970	256	27	10.77091270498592	2.506751353346457	7.708467068434643e-6	8.06819553162826e-4	1435;1440;23529;246778;2833;2921;3561;3569;3574;3592;3600;3604;3624;3976;414062;5618;56300;6352;6364;6368;650;658;659;7293;8740;958;970	CCL20;CCL3L3;INHBA;PRLR;IL27;IL7;CSF1;TNFSF14;IL6;CXCL3;LIF;CCL5;TNFRSF9;IL15;TNFRSF4;CXCR3;IL36G;CLCF1;CCL23;CD70;IL12A;IL2RG;BMPR2;CD40;BMPR1B;BMP2;CSF3
hsa04657	IL-17 signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04657+10758+1440+29110+2921+3569+3725+4318+4792+5743+5970+6364+7128+8061	79	13	3.3238363425542485	3.911143227349746	2.0939550700704856e-5	0.0015805278862704997	10758;1440;29110;2921;3569;3725;4318;4792;5743;5970;6364;7128;8061	TNFAIP3;CCL20;TBK1;NFKBIA;PTGS2;MMP9;TRAF3IP2;IL6;CXCL3;RELA;JUN;FOSL1;CSF3
hsa05418	Fluid shear stress and atherosclerosis	http://www.kegg.jp/kegg-bin/show_pathway?hsa05418+10000+1535+1906+2817+3383+3725+4318+4688+5291+5562+5880+5970+6385+658+659+6714+7295	130	17	5.469604108000662	3.1080860084797095	2.692727901520975e-5	0.0015805278862704997	10000;1535;1906;2817;3383;3725;4318;4688;5291;5562;5880;5970;6385;658;659;6714;7295	SDC4;SRC;MMP9;ICAM1;AKT3;CYBA;TXN;EDN1;GPC1;RELA;RAC2;PIK3CB;JUN;PRKAA1;BMPR2;NCF2;BMPR1B
hsa05202	Transcriptional misregulation in cancer	http://www.kegg.jp/kegg-bin/show_pathway?hsa05202+1647+1848+2321+3002+3569+4211+4233+4318+4616+5966+597+5970+64332+7185+7704+7709+84444+8900+958	158	19	6.647672685108497	2.8581431276786606	3.0201169801347127e-5	0.0015805278862704997	1647;1848;2321;3002;3569;4211;4233;4318;4616;5966;597;5970;64332;7185;7704;7709;84444;8900;958	TRAF1;GADD45B;FLT1;MMP9;DOT1L;IL6;CCNA1;DUSP6;NFKBIZ;GZMB;REL;RELA;ZBTB17;GADD45A;MET;ZBTB16;MEIS1;CD40;BCL2A1
hsa05134	Legionellosis	http://www.kegg.jp/kegg-bin/show_pathway?hsa05134+1915+2921+3303+3569+3592+4791+4792+5970+718+842	51	10	2.1457677654464136	4.660336575575112	4.044169989536606e-5	0.0016144679150481012	1915;2921;3303;3569;3592;4791;4792;5970;718;842	NFKB2;NFKBIA;IL6;CXCL3;HSPA1A;RELA;EEF1A1;C3;CASP9;IL12A
hsa04064	NF-kappa B signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04064+23586+27040+3383+4616+4791+4792+5743+597+5970+7128+7185+8740+958	84	13	3.534205731323505	3.6783370828646422	4.113294051077965e-5	0.0016144679150481012	23586;27040;3383;4616;4791;4792;5743;597;5970;7128;7185;8740;958	TRAF1;TNFAIP3;NFKB2;NFKBIA;GADD45B;PTGS2;TNFSF14;ICAM1;RELA;DDX58;LAT;CD40;BCL2A1
hsa05200	Pathways in cancer	http://www.kegg.jp/kegg-bin/show_pathway?hsa05200+10000+10125+1030+112399+1647+2770+2793+3561+3569+3574+3592+3600+3717+3725+3915+4089+4233+4318+4616+4791+4792+5291+5292+5366+5743+5880+5970+650+673+6775+6776+7185+7471+7704+7709+842+8454+8900	476	38	20.027165810833193	1.89742274862701	7.502250709912062e-5	0.002617451914347097	10000;10125;1030;112399;1647;2770;2793;3561;3569;3574;3592;3600;3717;3725;3915;4089;4233;4318;4616;4791;4792;5291;5292;5366;5743;5880;5970;650;673;6775;6776;7185;7471;7704;7709;842;8454;8900	TRAF1;NFKB2;STAT4;NFKBIA;PMAIP1;GADD45B;PTGS2;IL7;MMP9;AKT3;IL6;CCNA1;WNT1;BRAF;IL15;GNAI1;RASGRP1;RELA;RAC2;STAT5A;PIK3CB;ZBTB17;JAK2;GADD45A;LAMC1;MET;ZBTB16;EGLN3;JUN;PIM1;CASP9;IL12A;CUL1;IL2RG;GNGT2;BMP2;SMAD4;CDKN2B
hsa05161	Hepatitis B	http://www.kegg.jp/kegg-bin/show_pathway?hsa05161+10000+23586+29110+3569+3725+4089+4318+4772+4792+5291+5970+6714+6775+6776+842+8900	134	16	5.637899619016067	2.8379363027382776	1.4099829502756123e-4	0.004053946955143273	10000;23586;29110;3569;3725;4089;4318;4772;4792;5291;5970;6714;6775;6776;842;8900	TBK1;STAT4;NFKBIA;NFATC1;SRC;MMP9;AKT3;IL6;CCNA1;RELA;STAT5A;PIK3CB;DDX58;JUN;CASP9;SMAD4
