geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0002275	myeloid cell activation involved in immune response	http://amigo.geneontology.org/amigo/term/GO:0002275	492	40	12.418708240534523	3.2209469153515062	5.6174398466168896e-11	3.3182217173965967e-7	55;948;967;968;1075;1378;1476;1511;1794;1992;2171;2242;2495;3074;3163;3916;4125;4332;5023;5211;5294;5478;5777;5788;5880;5912;6556;7077;8566;9535;10097;10493;11027;11322;22918;56670;84106;84868;353189;374403	TBC1D10C;PDXK;CD36;P2RX1;CSTB;FABP5;DOCK2;FTH1;SUCNR1;PRAM1;SLC11A1;ACPP;LILRA2;LAMP1;CD68;CD63;PTPN6;SERPINB1;CD93;SLCO4C1;CR1;PTPRC;HEXB;MAN2B1;MNDA;VAT1;FES;TIMP2;PPIA;RAC2;HMOX2;PFKL;TMC6;PIK3CG;GMFG;CTSG;RAP2B;CTSC;HAVCR2;ACTR2
GO:0043299	leukocyte degranulation	http://amigo.geneontology.org/amigo/term/GO:0043299	482	37	12.166295471417966	3.0411886746399803	1.5518804019620802e-9	4.583478767195004e-6	55;948;967;968;1075;1378;1476;1511;1794;1992;2171;2242;2495;3074;3163;3916;4125;4332;5023;5211;5294;5478;5777;5788;5880;5912;6556;7077;8566;9535;10097;10493;11322;22918;84106;353189;374403	TBC1D10C;PDXK;CD36;P2RX1;CSTB;FABP5;DOCK2;FTH1;PRAM1;SLC11A1;ACPP;LAMP1;CD68;CD63;PTPN6;SERPINB1;CD93;SLCO4C1;CR1;PTPRC;HEXB;MAN2B1;MNDA;VAT1;FES;TIMP2;PPIA;RAC2;HMOX2;PFKL;TMC6;PIK3CG;GMFG;CTSG;RAP2B;CTSC;ACTR2
GO:0002283	neutrophil activation involved in immune response	http://amigo.geneontology.org/amigo/term/GO:0002283	445	35	11.232368225686711	3.115994712491738	2.352129824245708e-9	4.631343623939799e-6	55;948;967;968;1075;1378;1476;1511;1794;1992;2171;2495;3074;3163;3916;4125;4332;5023;5211;5478;5777;5788;5912;6556;7077;8566;9535;10097;10493;11027;11322;22918;84106;353189;374403	TBC1D10C;PDXK;CD36;P2RX1;CSTB;FABP5;DOCK2;FTH1;PRAM1;SLC11A1;ACPP;LILRA2;LAMP1;CD68;CD63;PTPN6;SERPINB1;CD93;SLCO4C1;CR1;PTPRC;HEXB;MAN2B1;MNDA;VAT1;TIMP2;PPIA;HMOX2;PFKL;TMC6;GMFG;CTSG;RAP2B;CTSC;ACTR2
GO:0042119	neutrophil activation	http://amigo.geneontology.org/amigo/term/GO:0042119	453	35	11.434298440979957	3.0609661082976234	3.749399901664674e-9	4.910343243458293e-6	55;948;967;968;1075;1378;1476;1511;1794;1992;2171;2495;3074;3163;3916;4125;4332;5023;5211;5478;5777;5788;5912;6556;7077;8566;9535;10097;10493;11027;11322;22918;84106;353189;374403	TBC1D10C;PDXK;CD36;P2RX1;CSTB;FABP5;DOCK2;FTH1;PRAM1;SLC11A1;ACPP;LILRA2;LAMP1;CD68;CD63;PTPN6;SERPINB1;CD93;SLCO4C1;CR1;PTPRC;HEXB;MAN2B1;MNDA;VAT1;TIMP2;PPIA;HMOX2;PFKL;TMC6;GMFG;CTSG;RAP2B;CTSC;ACTR2
GO:0002446	neutrophil mediated immunity	http://amigo.geneontology.org/amigo/term/GO:0002446	455	35	11.484780994803268	3.0475113122171944	4.2050818382932675e-9	4.910343243458293e-6	55;948;967;968;1075;1378;1476;1511;1794;1992;2171;2495;3074;3163;3916;4125;4332;5023;5211;5478;5777;5788;5912;6556;6868;7077;8566;9535;10097;10493;11322;22918;84106;353189;374403	TBC1D10C;PDXK;CD36;P2RX1;CSTB;FABP5;DOCK2;FTH1;PRAM1;SLC11A1;ACPP;LAMP1;CD68;CD63;PTPN6;SERPINB1;CD93;SLCO4C1;CR1;PTPRC;HEXB;MAN2B1;MNDA;VAT1;TIMP2;PPIA;HMOX2;PFKL;ADAM17;TMC6;GMFG;CTSG;RAP2B;CTSC;ACTR2
GO:0036230	granulocyte activation	http://amigo.geneontology.org/amigo/term/GO:0036230	458	35	11.560504825538233	3.027549447726689	4.987651847088159e-9	4.910343243458293e-6	55;948;967;968;1075;1378;1476;1511;1794;1992;2171;2495;3074;3163;3916;4125;4332;5023;5211;5478;5777;5788;5912;6556;7077;8566;9535;10097;10493;11027;11322;22918;84106;353189;374403	TBC1D10C;PDXK;CD36;P2RX1;CSTB;FABP5;DOCK2;FTH1;PRAM1;SLC11A1;ACPP;LILRA2;LAMP1;CD68;CD63;PTPN6;SERPINB1;CD93;SLCO4C1;CR1;PTPRC;HEXB;MAN2B1;MNDA;VAT1;TIMP2;PPIA;HMOX2;PFKL;TMC6;GMFG;CTSG;RAP2B;CTSC;ACTR2
GO:0043312	neutrophil degranulation	http://amigo.geneontology.org/amigo/term/GO:0043312	442	34	11.156644394951746	3.0475113122171944	7.109303146179968e-9	5.999236240640725e-6	55;948;967;968;1075;1378;1476;1511;1794;1992;2171;2495;3074;3163;3916;4125;4332;5023;5211;5478;5777;5788;5912;6556;7077;8566;9535;10097;10493;11322;22918;84106;353189;374403	TBC1D10C;PDXK;CD36;P2RX1;CSTB;FABP5;DOCK2;FTH1;PRAM1;SLC11A1;ACPP;LAMP1;CD68;CD63;PTPN6;SERPINB1;CD93;SLCO4C1;CR1;PTPRC;HEXB;MAN2B1;MNDA;VAT1;TIMP2;PPIA;HMOX2;PFKL;TMC6;GMFG;CTSG;RAP2B;CTSC;ACTR2
GO:0050865	regulation of cell activation	http://amigo.geneontology.org/amigo/term/GO:0050865	467	33	11.787676317743134	2.7995339463408486	9.210259277470101e-8	6.800625194001986e-5	678;912;928;1051;1378;2175;2242;3916;4332;4773;5295;5777;5788;5880;6366;6693;7048;7056;7940;8741;8764;10077;10892;11027;22890;51083;80381;81704;84106;84868;114770;353514;374403	TSPAN32;TBC1D10C;TGFBR2;TNFRSF14;FANCA;CD276;CD9;THBD;CCL21;PRAM1;LILRA2;LAMP1;TNFSF13;CD1D;PTPN6;SPN;NFATC2;CEBPB;PGLYRP2;CR1;PTPRC;MNDA;LILRA5;GAL;ZFP36L2;FES;ZBTB1;RAC2;DOCK8;LST1;PIK3R1;MALT1;HAVCR2
GO:0002694	regulation of leukocyte activation	http://amigo.geneontology.org/amigo/term/GO:0002694	437	29	11.030438010393468	2.629088706420783	2.061924443630403e-6	0.0012735146711962077	678;912;1051;1378;2175;2242;3916;4332;4773;5295;5777;5788;5880;6366;6693;7048;7940;8741;8764;10077;10892;22890;51083;80381;81704;84106;84868;114770;374403	TSPAN32;TBC1D10C;TGFBR2;TNFRSF14;FANCA;CD276;CCL21;PRAM1;LAMP1;TNFSF13;CD1D;PTPN6;SPN;NFATC2;CEBPB;PGLYRP2;CR1;PTPRC;MNDA;GAL;ZFP36L2;FES;ZBTB1;RAC2;DOCK8;LST1;PIK3R1;MALT1;HAVCR2
GO:0051249	regulation of lymphocyte activation	http://amigo.geneontology.org/amigo/term/GO:0051249	367	26	9.263548626577581	2.806699791633274	2.155941545955997e-6	0.0012735146711962077	678;912;1051;1378;2175;3916;4332;4773;5295;5777;5788;5880;6366;6693;7048;7940;8741;8764;10892;22890;51083;80381;81704;84868;114770;374403	TBC1D10C;TGFBR2;TNFRSF14;FANCA;CD276;CCL21;LAMP1;TNFSF13;CD1D;PTPN6;SPN;NFATC2;CEBPB;PGLYRP2;CR1;PTPRC;MNDA;GAL;ZFP36L2;ZBTB1;RAC2;DOCK8;LST1;PIK3R1;MALT1;HAVCR2
GO:0046651	lymphocyte proliferation	http://amigo.geneontology.org/amigo/term/GO:0046651	239	20	6.0326651818856725	3.3152842727048975	2.7908949433719243e-6	0.0014987105845907234	912;1051;1794;4332;4773;5027;5294;5777;5788;5880;6556;6693;7048;7940;8764;10892;51083;80381;81704;84868	TGFBR2;TNFRSF14;P2RX7;CD276;DOCK2;SLC11A1;CD1D;PTPN6;SPN;NFATC2;CEBPB;PTPRC;MNDA;GAL;RAC2;DOCK8;PIK3CG;LST1;MALT1;HAVCR2
GO:0032943	mononuclear cell proliferation	http://amigo.geneontology.org/amigo/term/GO:0032943	241	20	6.083147735708983	3.28777154015133	3.171303734283981e-6	0.0015610742632012897	912;1051;1794;4332;4773;5027;5294;5777;5788;5880;6556;6693;7048;7940;8764;10892;51083;80381;81704;84868	TGFBR2;TNFRSF14;P2RX7;CD276;DOCK2;SLC11A1;CD1D;PTPN6;SPN;NFATC2;CEBPB;PTPRC;MNDA;GAL;RAC2;DOCK8;PIK3CG;LST1;MALT1;HAVCR2
GO:0050830	defense response to Gram-positive bacterium	http://amigo.geneontology.org/amigo/term/GO:0050830	64	10	1.615441722345954	6.190257352941176	4.151086132608839e-6	0.0018155150681535995	54;944;948;1511;5027;6868;6992;8764;84868;114770	ACP5;CD36;TNFRSF14;P2RX7;TNFSF8;PGLYRP2;PPP1R11;ADAM17;CTSG;HAVCR2
GO:0042098	T cell proliferation	http://amigo.geneontology.org/amigo/term/GO:0042098	165	16	4.164810690423163	3.8417112299465237	4.302896724928118e-6	0.0018155150681535995	912;1051;1794;5027;5294;5777;5788;5880;6556;6693;7048;8764;10892;80381;81704;84868	TGFBR2;TNFRSF14;P2RX7;CD276;DOCK2;SLC11A1;CD1D;PTPN6;SPN;CEBPB;PTPRC;RAC2;DOCK8;PIK3CG;MALT1;HAVCR2
GO:0070661	leukocyte proliferation	http://amigo.geneontology.org/amigo/term/GO:0070661	256	20	6.461766889383816	3.095128676470588	7.897798206868423e-6	0.0029643292607427945	912;1051;1794;4332;4773;5027;5294;5777;5788;5880;6556;6693;7048;7940;8764;10892;51083;80381;81704;84868	TGFBR2;TNFRSF14;P2RX7;CD276;DOCK2;SLC11A1;CD1D;PTPN6;SPN;NFATC2;CEBPB;PTPRC;MNDA;GAL;RAC2;DOCK8;PIK3CG;LST1;MALT1;HAVCR2
GO:0009617	response to bacterium	http://amigo.geneontology.org/amigo/term/GO:0009617	494	30	12.469190794357832	2.405929983329364	8.123904267964832e-6	0.0029643292607427945	54;824;841;912;944;948;1051;1234;1511;2167;3248;4023;4360;5027;5054;5732;6556;6693;6868;6992;7056;8398;8764;9450;10892;11027;57817;84868;114770;440068	ACP5;CD36;TNFRSF14;P2RX7;SERPINE1;CARD17;THBD;SLC11A1;LILRA2;TNFSF8;CD1D;CASP8;SPN;CEBPB;PGLYRP2;CAPN2;FABP4;HPGD;CCR5;PPP1R11;LY86;ADAM17;PTGER2;HAMP;PLA2G6;MRC1;CTSG;LPL;MALT1;HAVCR2
GO:0042742	defense response to bacterium	http://amigo.geneontology.org/amigo/term/GO:0042742	174	16	4.3919821826280625	3.6430020283975657	8.531165978098443e-6	0.0029643292607427945	54;944;948;1051;1511;5027;5054;6556;6693;6868;6992;8398;8764;57817;84868;114770	ACP5;CD36;TNFRSF14;P2RX7;SERPINE1;SLC11A1;TNFSF8;SPN;CEBPB;PGLYRP2;PPP1R11;ADAM17;HAMP;PLA2G6;CTSG;HAVCR2
