geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0006882	cellular zinc ion homeostasis	http://amigo.geneontology.org/amigo/term/GO:0006882	29	8	0.35738678544914626	22.384711258828418	1.5471577352599297e-9	5.4763610559671605e-6	4489;4493;4494;4496;4499;6279;6280;7779	MT1H;MT1M;MT1F;S100A9;MT1E;MT1A;SLC30A1;S100A8
GO:0055069	zinc ion homeostasis	http://amigo.geneontology.org/amigo/term/GO:0055069	30	8	0.36971046770601335	21.638554216867472	2.0877812811903596e-9	5.4763610559671605e-6	4489;4493;4494;4496;4499;6279;6280;7779	MT1H;MT1M;MT1F;S100A9;MT1E;MT1A;SLC30A1;S100A8
GO:0061687	detoxification of inorganic compound	http://amigo.geneontology.org/amigo/term/GO:0061687	12	6	0.14788418708240533	40.57228915662651	2.7812905312174507e-9	5.4763610559671605e-6	4489;4493;4494;4496;4499;7779	MT1H;MT1M;MT1F;MT1E;MT1A;SLC30A1
GO:0097501	stress response to metal ion	http://amigo.geneontology.org/amigo/term/GO:0097501	13	6	0.16020786933927245	37.45134383688601	5.112688716835123e-9	7.550163062586268e-6	4489;4493;4494;4496;4499;7779	MT1H;MT1M;MT1F;MT1E;MT1A;SLC30A1
GO:0010273	detoxification of copper ion	http://amigo.geneontology.org/amigo/term/GO:0010273	11	5	0.13556050482553822	36.88389923329683	1.1646229391981677e-7	1.1465712836405961e-4	4489;4493;4494;4496;4499	MT1H;MT1M;MT1F;MT1E;MT1A
GO:1990169	stress response to copper ion	http://amigo.geneontology.org/amigo/term/GO:1990169	11	5	0.13556050482553822	36.88389923329683	1.1646229391981677e-7	1.1465712836405961e-4	4489;4493;4494;4496;4499	MT1H;MT1M;MT1F;MT1E;MT1A
GO:0009617	response to bacterium	http://amigo.geneontology.org/amigo/term/GO:0009617	494	22	6.087899034892353	3.613726159699527	1.7450584566258698e-7	1.4725800433270018e-4	19;602;929;1118;2519;2706;2921;3017;3055;3148;5617;6036;6279;6280;6374;6678;9536;10062;23208;26191;27063;58484	PTGES;CD14;S100A9;PRL;CXCL5;RNASE2;CXCL3;GJB2;ANKRD1;BCL3;SYT11;HIST1H2BD;SPARC;FUCA2;NR1H3;HCK;PTPN22;ABCA1;HMGB2;CHIT1;S100A8;NLRC4
GO:0046686	response to cadmium ion	http://amigo.geneontology.org/amigo/term/GO:0046686	56	8	0.6901262063845582	11.592082616179002	3.8602634544471215e-7	2.8503220281773933e-4	4489;4493;4494;4496;4499;4968;6678;7779	MT1H;MT1M;MT1F;MT1E;MT1A;OGG1;SPARC;SLC30A1
GO:0010043	response to zinc ion	http://amigo.geneontology.org/amigo/term/GO:0010043	45	7	0.5545657015590201	12.622489959839356	1.1639965451504253e-6	7.639697324670625e-4	4489;4493;4494;4496;4499;6279;8836	MT1H;MT1M;MT1F;MT1E;MT1A;GGH;S100A8
GO:0071294	cellular response to zinc ion	http://amigo.geneontology.org/amigo/term/GO:0071294	17	5	0.2095025983667409	23.866052445074416	1.4690948539897164e-6	8.677943302517256e-4	4489;4493;4494;4496;4499	MT1H;MT1M;MT1F;MT1E;MT1A
