userId	geneSymbol	geneName	entrezgene	gLink
INHBA	INHBA	inhibin subunit beta A	3624	https://www.ncbi.nlm.nih.gov/gene/?term=3624
FLOT1	FLOT1	flotillin 1	10211	https://www.ncbi.nlm.nih.gov/gene/?term=10211
TRAF1	TRAF1	TNF receptor associated factor 1	7185	https://www.ncbi.nlm.nih.gov/gene/?term=7185
IL6	IL6	interleukin 6	3569	https://www.ncbi.nlm.nih.gov/gene/?term=3569
IDO1	IDO1	indoleamine 2,3-dioxygenase 1	3620	https://www.ncbi.nlm.nih.gov/gene/?term=3620
LOC101926887	LOC101926887	uncharacterized LOC101926887	101926887	https://www.ncbi.nlm.nih.gov/gene/?term=101926887
TNFAIP3	TNFAIP3	TNF alpha induced protein 3	7128	https://www.ncbi.nlm.nih.gov/gene/?term=7128
SOD2	SOD2	superoxide dismutase 2	6648	https://www.ncbi.nlm.nih.gov/gene/?term=6648
MYO1G	MYO1G	myosin IG	64005	https://www.ncbi.nlm.nih.gov/gene/?term=64005
IFI44L	IFI44L	interferon induced protein 44 like	10964	https://www.ncbi.nlm.nih.gov/gene/?term=10964
CCL20	CCL20	C-C motif chemokine ligand 20	6364	https://www.ncbi.nlm.nih.gov/gene/?term=6364
MIR4471	MIR4471	microRNA 4471	100616451	https://www.ncbi.nlm.nih.gov/gene/?term=100616451
OAS2	OAS2	2'-5'-oligoadenylate synthetase 2	4939	https://www.ncbi.nlm.nih.gov/gene/?term=4939
STAT4	STAT4	signal transducer and activator of transcription 4	6775	https://www.ncbi.nlm.nih.gov/gene/?term=6775
OSBPL10-AS1	OSBPL10-AS1	OSBPL10 antisense RNA 1	100874206	https://www.ncbi.nlm.nih.gov/gene/?term=100874206
CCL3L3	CCL3L3	C-C motif chemokine ligand 3 like 3	414062	https://www.ncbi.nlm.nih.gov/gene/?term=414062
IL27	IL27	interleukin 27	246778	https://www.ncbi.nlm.nih.gov/gene/?term=246778
EBI3	EBI3	Epstein-Barr virus induced 3	10148	https://www.ncbi.nlm.nih.gov/gene/?term=10148
HERC5	HERC5	HECT and RLD domain containing E3 ubiquitin protein ligase 5	51191	https://www.ncbi.nlm.nih.gov/gene/?term=51191
GBP5	GBP5	guanylate binding protein 5	115362	https://www.ncbi.nlm.nih.gov/gene/?term=115362
VTRNA1-3	VTRNA1-3	vault RNA 1-3	56662	https://www.ncbi.nlm.nih.gov/gene/?term=56662
PARP14	PARP14	poly(ADP-ribose) polymerase family member 14	54625	https://www.ncbi.nlm.nih.gov/gene/?term=54625
FBXO39	FBXO39	F-box protein 39	162517	https://www.ncbi.nlm.nih.gov/gene/?term=162517
C15orf48	C15orf48	chromosome 15 open reading frame 48	84419	https://www.ncbi.nlm.nih.gov/gene/?term=84419
MSANTD3	MSANTD3	Myb/SANT DNA binding domain containing 3	91283	https://www.ncbi.nlm.nih.gov/gene/?term=91283
CD38	CD38	CD38 molecule	952	https://www.ncbi.nlm.nih.gov/gene/?term=952
MIR3122	MIR3122	microRNA 3122	100422947	https://www.ncbi.nlm.nih.gov/gene/?term=100422947
ELOVL7	ELOVL7	ELOVL fatty acid elongase 7	79993	https://www.ncbi.nlm.nih.gov/gene/?term=79993
IL7	IL7	interleukin 7	3574	https://www.ncbi.nlm.nih.gov/gene/?term=3574
OTUD7B	OTUD7B	OTU deubiquitinase 7B	56957	https://www.ncbi.nlm.nih.gov/gene/?term=56957
G0S2	G0S2	G0/G1 switch 2	50486	https://www.ncbi.nlm.nih.gov/gene/?term=50486
FCRLA	FCRLA	Fc receptor like A	84824	https://www.ncbi.nlm.nih.gov/gene/?term=84824
IFIT5	IFIT5	interferon induced protein with tetratricopeptide repeats 5	24138	https://www.ncbi.nlm.nih.gov/gene/?term=24138
CCL5	CCL5	C-C motif chemokine ligand 5	6352	https://www.ncbi.nlm.nih.gov/gene/?term=6352
