geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
hsa05140	Leishmaniasis	http://www.kegg.jp/kegg-bin/show_pathway?hsa05140+1378+2002+2353+3109+3113+3119+3122+3123+3127+3459+3689	68	11	1.8923306277952625	5.812937675070028	2.1666483078774945e-6	5.629168791540333e-4	1378;2002;2353;3109;3113;3119;3122;3123;3127;3459;3689	CR1;IFNGR1;HLA-DRB1;HLA-DRB5;HLA-DRA;ITGB2;FOS;HLA-DQB1;ELK1;HLA-DPA1;HLA-DMB
hsa05150	Staphylococcus aureus infection	http://www.kegg.jp/kegg-bin/show_pathway?hsa05150+3109+3113+3119+3122+3123+3127+3689+6404+712	46	9	1.2801060129203248	7.030667701863353	3.6734604893506884e-6	5.629168791540333e-4	3109;3113;3119;3122;3123;3127;3689;6404;712	SELPLG;HLA-DRB1;HLA-DRB5;HLA-DRA;ITGB2;C1QA;HLA-DQB1;HLA-DPA1;HLA-DMB
hsa04640	Hematopoietic cell lineage	http://www.kegg.jp/kegg-bin/show_pathway?hsa04640+1378+3109+3113+3119+3122+3123+3127+3563+911+913+929+948	89	12	2.476726851084976	4.845104333868378	5.378186743509872e-6	5.629168791540333e-4	1378;3109;3113;3119;3122;3123;3127;3563;911;913;929;948	CR1;CD14;HLA-DRB1;HLA-DRB5;HLA-DRA;CD1C;CD36;HLA-DQB1;HLA-DPA1;IL3RA;HLA-DMB;CD1E
hsa04142	Lysosome	http://www.kegg.jp/kegg-bin/show_pathway?hsa04142+1075+1511+26503+3074+427+54+5660+58511+6448+6556+7805+967+968	116	13	3.2280934238860364	4.027144909688013	1.7186845511329985e-5	0.0013491673726394038	1075;1511;26503;3074;427;54;5660;58511;6448;6556;7805;967;968	ACP5;DNASE2B;SLC11A1;HEXB;CTSG;ASAH1;SGSH;CD63;CTSC;SLC17A5;PSAP;CD68;LAPTM5
hsa05152	Tuberculosis	http://www.kegg.jp/kegg-bin/show_pathway?hsa05152+1378+3109+3113+3119+3122+3123+3127+3459+3689+4360+64581+820+841+91860+929	163	15	4.536027828391585	3.306858019281332	4.154782237009158e-5	0.0025364406128318695	1378;3109;3113;3119;3122;3123;3127;3459;3689;4360;64581;820;841;91860;929	CR1;IFNGR1;CLEC7A;CD14;HLA-DRB1;CAMP;HLA-DRB5;HLA-DRA;ITGB2;CALML4;CASP8;MRC1;HLA-DQB1;HLA-DPA1;HLA-DMB
hsa05310	Asthma	http://www.kegg.jp/kegg-bin/show_pathway?hsa05310+3109+3113+3119+3122+3123+3127	25	6	0.6957097896306113	8.624285714285714	4.846701807958986e-5	0.0025364406128318695	3109;3113;3119;3122;3123;3127	HLA-DRB1;HLA-DRB5;HLA-DRA;HLA-DQB1;HLA-DPA1;HLA-DMB
hsa04659	Th17 cell differentiation	http://www.kegg.jp/kegg-bin/show_pathway?hsa04659+2353+3109+3113+3119+3122+3123+3127+3459+4773+6256+7048	95	11	2.6436972005963226	4.160839598997494	5.757277325146859e-5	0.0025825501144230195	2353;3109;3113;3119;3122;3123;3127;3459;4773;6256;7048	TGFBR2;IFNGR1;HLA-DRB1;HLA-DRB5;HLA-DRA;RXRA;NFATC2;FOS;HLA-DQB1;HLA-DPA1;HLA-DMB
hsa05323	Rheumatoid arthritis	http://www.kegg.jp/kegg-bin/show_pathway?hsa05323+2353+3109+3113+3119+3122+3123+3127+3689+54+8741	81	10	2.2540997184031806	4.436360964138742	7.268739578247807e-5	0.0028529802844622643	2353;3109;3113;3119;3122;3123;3127;3689;54;8741	ACP5;HLA-DRB1;TNFSF13;HLA-DRB5;HLA-DRA;ITGB2;FOS;HLA-DQB1;HLA-DPA1;HLA-DMB
hsa05416	Viral myocarditis	http://www.kegg.jp/kegg-bin/show_pathway?hsa05416+3109+3113+3119+3122+3123+3127+3689+841	53	8	1.4749047540168958	5.4240790655885	9.274451951712948e-5	0.003235753236486517	3109;3113;3119;3122;3123;3127;3689;841	HLA-DRB1;HLA-DRB5;HLA-DRA;ITGB2;CASP8;HLA-DQB1;HLA-DPA1;HLA-DMB
hsa04672	Intestinal immune network for IgA production	http://www.kegg.jp/kegg-bin/show_pathway?hsa04672+3109+3113+3119+3122+3123+3127+8741	41	7	1.1409640549942024	6.135162601626017	1.1539113906189336e-4	0.003623281766543451	3109;3113;3119;3122;3123;3127;8741	HLA-DRB1;TNFSF13;HLA-DRB5;HLA-DRA;HLA-DQB1;HLA-DPA1;HLA-DMB
