"","Interval","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Chr","Start","End","Strand","Annotation","Distance.to.TSS","Nearest.PromoterID","Entrez.ID","Nearest.Unigene","Gene.Name","gc_content","length"
"1","Interval_71016",774.483353846032,3.84362868827042,0.174282719440758,22.0539861932608,8.74696050117476e-108,7.35750582556315e-103,"chr7",41685735,41695043,"+","exon (INHBA, exon 3 of 3)",-3559,"INHBA-AS1","INHBA-AS1","rna32649","INHBA-AS1",0.41078526157482,9308
"2","Interval_47911",392.916041547606,4.03203773332617,0.223090323217334,18.0735662362108,5.14761491899569e-73,2.16495814455661e-68,"chr21",25582827,25588200,"+","TTS (MRPL39)",-2289,"LINC00515","LINC00515","rna81080","LINC00515",0.371790100483811,5373
"3","Interval_37106",308.403675111689,3.99805756055309,0.237568046715271,16.829104822101,1.4934291669525e-63,4.18732647927366e-59,"chr19",34988831,34991168,"+","Intergenic",-15900,"GRAMD1A","GRAMD1A","XM_006723299","GRAMD1A",0.460743801652893,2337
"4","Interval_71015",254.96365206673,3.91033703367156,0.233110672224618,16.7745946436278,3.74405208017076e-63,7.87327351808908e-59,"chr7",41680105,41683842,"+","Intergenic",-11975,"INHBA-AS1","INHBA-AS1","rna32649","INHBA-AS1",0.396736222578919,3737
"5","Interval_41781",1512.33770401303,3.3665464699466,0.209431537622738,16.0746872613378,3.8392600892559e-58,6.4587872481552e-54,"chr2",112827681,112837112,"+","intron (IL1B, intron 4 of 5)",3848,"IL1B","IL1B","NM_000576","IL1B",0.446352841391009,9431
"6","Interval_70357",277.789707407327,4.73523834741497,0.296697537553019,15.9598168103056,2.43444885143938e-57,3.41289441898039e-53,"chr7",22729718,22733299,"+","exon (IL6, exon 5 of 5)",4345,"IL6","IL6","NM_000600","IL6",0.389168062534897,3581
"7","Interval_22974",869.755229650806,2.3748579434177,0.149790142270238,15.8545676466025,1.30724145199053e-56,1.57083735334548e-52,"chr14",35397462,35400890,"+","Intergenic",5578,"NFKBIA","NFKBIA","NM_020529","NFKBIA",0.568648944916415,3428
"8","Interval_81015",490.46256348314,3.35465007210994,0.224538110561842,14.940225798266,1.80363049641456e-50,1.89640474007388e-46,"chr9",120892620,120897857,"+","promoter-TSS (PHF19)",-26327,"PHF19","PHF19","NM_001286840","PHF19",0.502481863306606,5237
"9","Interval_69196",233.663917426391,3.65088157046349,0.248088123515061,14.7160674954351,5.08376202395058e-49,4.75134047382893e-45,"chr6",155170838,155171980,"+","intron (TIAM2, intron 8 of 25)",61837,"LOC101928899","LOC101928899","rna31351","LOC101928899",0.389326334208224,1142
"10","Interval_69388",785.989943056672,2.44741794393383,0.16753191743068,14.6086667034447,2.4731054742067e-48,2.08025266962897e-44,"chr6",159675700,159680328,"+","Intergenic",15307,"SOD2","SOD2","NM_000636","SOD2",0.403110823071938,4628
"11","Interval_71019",259.166184763069,2.98708433164544,0.205111585049163,14.5632160705572,4.81387482873136e-48,3.68108255653399e-44,"chr7",41701005,41703316,"+","intron (INHBA, intron 1 of 2)",948,"INHBA","INHBA","NM_002192","INHBA",0.416089965397924,2311
"12","Interval_75361",561.408798953461,2.55483150157921,0.176958365816833,14.4374722821733,3.00668064442864e-47,2.10755785338429e-43,"chr8",39951370,39952621,"+","intron (IDO2, intron 2 of 10)",17040,"IDO2","IDO2","NM_194294","IDO2",0.416932907348243,1251
"13","Interval_81020",546.405274493487,2.15394280108847,0.149338455124631,14.4232294306975,3.69634238132532e-47,2.39167568773215e-43,"chr9",120925621,120927338,"+","intron (TRAF1, intron 1 of 7)",416,"TRAF1","TRAF1","NM_001190945","TRAF1",0.548311990686845,1717
