userId	geneSymbol	geneName	entrezgene	gLink
C11orf45	C11orf45	chromosome 11 open reading frame 45	219833	https://www.ncbi.nlm.nih.gov/gene/?term=219833
USP12	USP12	ubiquitin specific peptidase 12	219333	https://www.ncbi.nlm.nih.gov/gene/?term=219333
TOR3A	TOR3A	torsin family 3 member A	64222	https://www.ncbi.nlm.nih.gov/gene/?term=64222
ACBD3	ACBD3	acyl-CoA binding domain containing 3	64746	https://www.ncbi.nlm.nih.gov/gene/?term=64746
TCTEX1D2	TCTEX1D2	Tctex1 domain containing 2	255758	https://www.ncbi.nlm.nih.gov/gene/?term=255758
LOC102723506	LOC102723506	uncharacterized LOC102723506	102723506	https://www.ncbi.nlm.nih.gov/gene/?term=102723506
NAB1	NAB1	NGFI-A binding protein 1	4664	https://www.ncbi.nlm.nih.gov/gene/?term=4664
LOC101926994	LOC101926994	uncharacterized LOC101926994	101926994	https://www.ncbi.nlm.nih.gov/gene/?term=101926994
NFATC1	NFATC1	nuclear factor of activated T cells 1	4772	https://www.ncbi.nlm.nih.gov/gene/?term=4772
MIR1208	MIR1208	microRNA 1208	100302281	https://www.ncbi.nlm.nih.gov/gene/?term=100302281
ADRB2	ADRB2	adrenoceptor beta 2	154	https://www.ncbi.nlm.nih.gov/gene/?term=154
CEP112	CEP112	centrosomal protein 112	201134	https://www.ncbi.nlm.nih.gov/gene/?term=201134
NIPAL1	NIPAL1	NIPA like domain containing 1	152519	https://www.ncbi.nlm.nih.gov/gene/?term=152519
THRB	THRB	thyroid hormone receptor beta	7068	https://www.ncbi.nlm.nih.gov/gene/?term=7068
UBE2E2	UBE2E2	ubiquitin conjugating enzyme E2 E2	7325	https://www.ncbi.nlm.nih.gov/gene/?term=7325
ZBED3	ZBED3	zinc finger BED-type containing 3	84327	https://www.ncbi.nlm.nih.gov/gene/?term=84327
MRC2	MRC2	mannose receptor C type 2	9902	https://www.ncbi.nlm.nih.gov/gene/?term=9902
SMCO4	SMCO4	single-pass membrane protein with coiled-coil domains 4	56935	https://www.ncbi.nlm.nih.gov/gene/?term=56935
LOC101929538	LOC101929538	uncharacterized LOC101929538	101929538	https://www.ncbi.nlm.nih.gov/gene/?term=101929538
ZNF697	ZNF697	zinc finger protein 697	90874	https://www.ncbi.nlm.nih.gov/gene/?term=90874
SH3BP5	SH3BP5	SH3 domain binding protein 5	9467	https://www.ncbi.nlm.nih.gov/gene/?term=9467
CPB1	CPB1	carboxypeptidase B1	1360	https://www.ncbi.nlm.nih.gov/gene/?term=1360
DENND5B	DENND5B	DENN domain containing 5B	160518	https://www.ncbi.nlm.nih.gov/gene/?term=160518
ACBD7	ACBD7	acyl-CoA binding domain containing 7	414149	https://www.ncbi.nlm.nih.gov/gene/?term=414149
SKIL	SKIL	SKI like proto-oncogene	6498	https://www.ncbi.nlm.nih.gov/gene/?term=6498
MALT1	MALT1	MALT1 paracaspase	10892	https://www.ncbi.nlm.nih.gov/gene/?term=10892
MIR7845	MIR7845	microRNA 7845	102465835	https://www.ncbi.nlm.nih.gov/gene/?term=102465835
CXCL3	CXCL3	C-X-C motif chemokine ligand 3	2921	https://www.ncbi.nlm.nih.gov/gene/?term=2921
FBP1	FBP1	fructose-bisphosphatase 1	2203	https://www.ncbi.nlm.nih.gov/gene/?term=2203
RALGDS	RALGDS	ral guanine nucleotide dissociation stimulator	5900	https://www.ncbi.nlm.nih.gov/gene/?term=5900
TBC1D10A	TBC1D10A	TBC1 domain family member 10A	83874	https://www.ncbi.nlm.nih.gov/gene/?term=83874
MIR6864	MIR6864	microRNA 6864	102465521	https://www.ncbi.nlm.nih.gov/gene/?term=102465521
BCL7A	BCL7A	BCL7A, BAF complex component	605	https://www.ncbi.nlm.nih.gov/gene/?term=605
TGFBR2	TGFBR2	transforming growth factor beta receptor 2	7048	https://www.ncbi.nlm.nih.gov/gene/?term=7048
EIF4EBP1	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1	1978	https://www.ncbi.nlm.nih.gov/gene/?term=1978
VOPP1	VOPP1	VOPP1, WBP1/VOPP1 family member	81552	https://www.ncbi.nlm.nih.gov/gene/?term=81552
LMO7	LMO7	LIM domain 7	4008	https://www.ncbi.nlm.nih.gov/gene/?term=4008
DCUN1D3	DCUN1D3	defective in cullin neddylation 1 domain containing 3	123879	https://www.ncbi.nlm.nih.gov/gene/?term=123879
STAT5A	STAT5A	signal transducer and activator of transcription 5A	6776	https://www.ncbi.nlm.nih.gov/gene/?term=6776
ANKLE2	ANKLE2	ankyrin repeat and LEM domain containing 2	23141	https://www.ncbi.nlm.nih.gov/gene/?term=23141
LOC101927712	LOC101927712	uncharacterized LOC101927712	101927712	https://www.ncbi.nlm.nih.gov/gene/?term=101927712
CAST	CAST	calpastatin	831	https://www.ncbi.nlm.nih.gov/gene/?term=831
ZNF638	ZNF638	zinc finger protein 638	27332	https://www.ncbi.nlm.nih.gov/gene/?term=27332
CD99	CD99	CD99 molecule (Xg blood group)	4267	https://www.ncbi.nlm.nih.gov/gene/?term=4267
