"","Interval","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Chr","Start","End","Strand","Annotation","Distance.to.TSS","Nearest.PromoterID","Entrez.ID","Nearest.Unigene","Gene.Name","gc_content","length"
"1","Interval_47911",392.916041547606,-4.4275518553583,0.222722694014847,-19.879212915156,6.15924680716399e-88,5.18085045184599e-83,"chr21",25582827,25588200,"+","TTS (MRPL39)",-2289,"LINC00515","LINC00515","rna81080","LINC00515",0.371790100483811,5373
"2","Interval_3443",439.519656930548,-2.51171315542303,0.154185375193105,-16.2902165803813,1.15818352244769e-59,4.87103034953437e-55,"chr1",109931136,109934990,"+","Intergenic",22452,"CSF1","CSF1","NM_172211","CSF1",0.508690012970169,3854
"3","Interval_13750",1397.27664048878,2.4553331796258,0.160359651127408,15.3114150745751,6.41528364217812e-53,1.79873861187271e-48,"chr11",61961883,61964806,"+","TTS (FTH1)",4316,"FTH1","FTH1","NM_002032","FTH1",0.473802395209581,2923
"4","Interval_81019",345.732287207844,-2.45605692494001,0.172228539934101,-14.2604525700546,3.85943454149596e-46,8.11590841144833e-42,"chr9",120918949,120921635,"+","intron (TRAF1, intron 3 of 7)",6603,"TRAF1","TRAF1","NM_001190945","TRAF1",0.521027167845181,2686
"5","Interval_3434",307.161228188849,-2.90326779492014,0.214134827594232,-13.5581298359443,7.09213147938598e-42,1.1931092787771e-37,"chr1",109890007,109890981,"+","Intergenic",-20117,"CSF1","CSF1","NM_172211","CSF1",0.491282051282051,974
"6","Interval_54464",110.979803542074,-3.32964356196769,0.249058124531474,-13.3689417610101,9.1838125296058e-41,1.28749398487965e-36,"chr3",152423775,152427497,"+","intron (MBNL1, intron 2 of 7)",-84646,"TMEM14E","TMEM14E","NM_001123228","TMEM14E",0.39457426806339,3722
"7","Interval_3441",226.223716511777,-3.38019967279975,0.253392702774792,-13.3397672300136,1.35883154049317e-40,1.63283021469404e-36,"chr1",109920319,109924028,"+","intron (CSF1, intron 5 of 8)",11562,"CSF1","CSF1","NM_172211","CSF1",0.55633423180593,3709
"8","Interval_41811",654.670294673727,-2.69713199701957,0.205516933480319,-13.1236485059653,2.41044689545692e-39,2.53443425764198e-35,"chr2",113131283,113137302,"+","TTS (IL1RN)",14226,"IL1RN","IL1RN","NM_173841","IL1RN",0.481395348837209,6019
"9","Interval_3114",103.957430252424,-4.23256389477833,0.32976589397868,-12.8350565418144,1.04326780438955e-37,9.75049681846969e-34,"chr1",94526357,94528722,"+","Intergenic",14318,"F3","F3","NM_001993","F3",0.417159763313609,2365
"10","Interval_81015",490.46256348314,-2.43249234785,0.199366327644609,-12.2011192992739,3.06580410629215e-34,2.57880112400764e-30,"chr9",120892620,120897857,"+","promoter-TSS (PHF19)",-26327,"PHF19","PHF19","NM_001286840","PHF19",0.502481863306606,5237
