userId	geneSymbol	geneName	entrezgene	gLink
MIR4471	MIR4471	microRNA 4471	100616451	https://www.ncbi.nlm.nih.gov/gene/?term=100616451
RNU1-2	RNU1-2	RNA, U1 small nuclear 2	26870	https://www.ncbi.nlm.nih.gov/gene/?term=26870
INHBA	INHBA	inhibin subunit beta A	3624	https://www.ncbi.nlm.nih.gov/gene/?term=3624
LOC101926887	LOC101926887	uncharacterized LOC101926887	101926887	https://www.ncbi.nlm.nih.gov/gene/?term=101926887
RNU1-1	RNU1-1	RNA, U1 small nuclear 1	26871	https://www.ncbi.nlm.nih.gov/gene/?term=26871
CCL3L3	CCL3L3	C-C motif chemokine ligand 3 like 3	414062	https://www.ncbi.nlm.nih.gov/gene/?term=414062
IL6	IL6	interleukin 6	3569	https://www.ncbi.nlm.nih.gov/gene/?term=3569
RNVU1-6	RNVU1-6	RNA, variant U1 small nuclear 6	101954276	https://www.ncbi.nlm.nih.gov/gene/?term=101954276
LINC00884	LINC00884	long intergenic non-protein coding RNA 884	401106	https://www.ncbi.nlm.nih.gov/gene/?term=401106
IL27	IL27	interleukin 27	246778	https://www.ncbi.nlm.nih.gov/gene/?term=246778
RNVU1-7	RNVU1-7	RNA, variant U1 small nuclear 7	26864	https://www.ncbi.nlm.nih.gov/gene/?term=26864
PARP14	PARP14	poly(ADP-ribose) polymerase family member 14	54625	https://www.ncbi.nlm.nih.gov/gene/?term=54625
RNVU1-15	RNVU1-15	RNA, variant U1 small nuclear 15	101954267	https://www.ncbi.nlm.nih.gov/gene/?term=101954267
C12orf57	C12orf57	chromosome 12 open reading frame 57	113246	https://www.ncbi.nlm.nih.gov/gene/?term=113246
ACSM5	ACSM5	acyl-CoA synthetase medium chain family member 5	54988	https://www.ncbi.nlm.nih.gov/gene/?term=54988
IFIT5	IFIT5	interferon induced protein with tetratricopeptide repeats 5	24138	https://www.ncbi.nlm.nih.gov/gene/?term=24138
MIR155	MIR155	microRNA 155	406947	https://www.ncbi.nlm.nih.gov/gene/?term=406947
FLT1	FLT1	fms related tyrosine kinase 1	2321	https://www.ncbi.nlm.nih.gov/gene/?term=2321
OAS2	OAS2	2'-5'-oligoadenylate synthetase 2	4939	https://www.ncbi.nlm.nih.gov/gene/?term=4939
MIR155HG	MIR155HG	MIR155 host gene	114614	https://www.ncbi.nlm.nih.gov/gene/?term=114614
SMG9	SMG9	SMG9, nonsense mediated mRNA decay factor	56006	https://www.ncbi.nlm.nih.gov/gene/?term=56006
FLOT1	FLOT1	flotillin 1	10211	https://www.ncbi.nlm.nih.gov/gene/?term=10211
MIR7848	MIR7848	microRNA 7848	102466865	https://www.ncbi.nlm.nih.gov/gene/?term=102466865
RSAD2	RSAD2	radical S-adenosyl methionine domain containing 2	91543	https://www.ncbi.nlm.nih.gov/gene/?term=91543
OTUD7B	OTUD7B	OTU deubiquitinase 7B	56957	https://www.ncbi.nlm.nih.gov/gene/?term=56957
ATP10A	ATP10A	ATPase phospholipid transporting 10A (putative)	57194	https://www.ncbi.nlm.nih.gov/gene/?term=57194
ISG15	ISG15	ISG15 ubiquitin-like modifier	9636	https://www.ncbi.nlm.nih.gov/gene/?term=9636
RNU5B-1	RNU5B-1	RNA, U5B small nuclear 1	26832	https://www.ncbi.nlm.nih.gov/gene/?term=26832
MOB3B	MOB3B	MOB kinase activator 3B	79817	https://www.ncbi.nlm.nih.gov/gene/?term=79817
DTX3L	DTX3L	deltex E3 ubiquitin ligase 3L	151636	https://www.ncbi.nlm.nih.gov/gene/?term=151636
ASCL2	ASCL2	achaete-scute family bHLH transcription factor 2	430	https://www.ncbi.nlm.nih.gov/gene/?term=430
MIR8073	MIR8073	microRNA 8073	102465872	https://www.ncbi.nlm.nih.gov/gene/?term=102465872
EMP1	EMP1	epithelial membrane protein 1	2012	https://www.ncbi.nlm.nih.gov/gene/?term=2012
TNFSF8	TNFSF8	TNF superfamily member 8	944	https://www.ncbi.nlm.nih.gov/gene/?term=944
BTG1	BTG1	BTG anti-proliferation factor 1	694	https://www.ncbi.nlm.nih.gov/gene/?term=694
RNU5A-1	RNU5A-1	RNA, U5A small nuclear 1	26831	https://www.ncbi.nlm.nih.gov/gene/?term=26831
SNORD118	SNORD118	small nucleolar RNA, C/D box 118	727676	https://www.ncbi.nlm.nih.gov/gene/?term=727676
OASL	OASL	2'-5'-oligoadenylate synthetase like	8638	https://www.ncbi.nlm.nih.gov/gene/?term=8638
RNU5F-1	RNU5F-1	RNA, U5F small nuclear 1	26828	https://www.ncbi.nlm.nih.gov/gene/?term=26828
WNT1	WNT1	Wnt family member 1	7471	https://www.ncbi.nlm.nih.gov/gene/?term=7471
ARC	ARC	activity regulated cytoskeleton associated protein	23237	https://www.ncbi.nlm.nih.gov/gene/?term=23237
APOL6	APOL6	apolipoprotein L6	80830	https://www.ncbi.nlm.nih.gov/gene/?term=80830
FCRLA	FCRLA	Fc receptor like A	84824	https://www.ncbi.nlm.nih.gov/gene/?term=84824
XIAP	XIAP	X-linked inhibitor of apoptosis	331	https://www.ncbi.nlm.nih.gov/gene/?term=331
EDN1	EDN1	endothelin 1	1906	https://www.ncbi.nlm.nih.gov/gene/?term=1906
RNU11	RNU11	RNA, U11 small nuclear	26824	https://www.ncbi.nlm.nih.gov/gene/?term=26824
SLAMF7	SLAMF7	SLAM family member 7	57823	https://www.ncbi.nlm.nih.gov/gene/?term=57823
PMAIP1	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1	5366	https://www.ncbi.nlm.nih.gov/gene/?term=5366
MIR6864	MIR6864	microRNA 6864	102465521	https://www.ncbi.nlm.nih.gov/gene/?term=102465521
RNU5D-1	RNU5D-1	RNA, U5D small nuclear 1	26830	https://www.ncbi.nlm.nih.gov/gene/?term=26830
SAMD9	SAMD9	sterile alpha motif domain containing 9	54809	https://www.ncbi.nlm.nih.gov/gene/?term=54809
P2RX7	P2RX7	purinergic receptor P2X 7	5027	https://www.ncbi.nlm.nih.gov/gene/?term=5027
MFSD2A	MFSD2A	major facilitator superfamily domain containing 2A	84879	https://www.ncbi.nlm.nih.gov/gene/?term=84879
IFIT2	IFIT2	interferon induced protein with tetratricopeptide repeats 2	3433	https://www.ncbi.nlm.nih.gov/gene/?term=3433
TEX14	TEX14	testis expressed 14, intercellular bridge forming factor	56155	https://www.ncbi.nlm.nih.gov/gene/?term=56155
ACBD3	ACBD3	acyl-CoA binding domain containing 3	64746	https://www.ncbi.nlm.nih.gov/gene/?term=64746
RNU4-2	RNU4-2	RNA, U4 small nuclear 2	26834	https://www.ncbi.nlm.nih.gov/gene/?term=26834
CAPN2	CAPN2	calpain 2	824	https://www.ncbi.nlm.nih.gov/gene/?term=824
RNVU1-14	RNVU1-14	RNA, variant U1 small nuclear 14	101954266	https://www.ncbi.nlm.nih.gov/gene/?term=101954266
VTRNA1-3	VTRNA1-3	vault RNA 1-3	56662	https://www.ncbi.nlm.nih.gov/gene/?term=56662
SLC27A3	SLC27A3	solute carrier family 27 member 3	11000	https://www.ncbi.nlm.nih.gov/gene/?term=11000
UBC	UBC	ubiquitin C	7316	https://www.ncbi.nlm.nih.gov/gene/?term=7316
MIR7846	MIR7846	microRNA 7846	102465836	https://www.ncbi.nlm.nih.gov/gene/?term=102465836
MIR5087	MIR5087	microRNA 5087	100847044	https://www.ncbi.nlm.nih.gov/gene/?term=100847044
GADD45B	GADD45B	growth arrest and DNA damage inducible beta	4616	https://www.ncbi.nlm.nih.gov/gene/?term=4616
SMS	SMS	spermine synthase	6611	https://www.ncbi.nlm.nih.gov/gene/?term=6611
SOCS1	SOCS1	suppressor of cytokine signaling 1	8651	https://www.ncbi.nlm.nih.gov/gene/?term=8651
KLK10	KLK10	kallikrein related peptidase 10	5655	https://www.ncbi.nlm.nih.gov/gene/?term=5655
IFIT3	IFIT3	interferon induced protein with tetratricopeptide repeats 3	3437	https://www.ncbi.nlm.nih.gov/gene/?term=3437
LINC00941	LINC00941	long intergenic non-protein coding RNA 941	100287314	https://www.ncbi.nlm.nih.gov/gene/?term=100287314
AMIGO2	AMIGO2	adhesion molecule with Ig like domain 2	347902	https://www.ncbi.nlm.nih.gov/gene/?term=347902
LOC102723506	LOC102723506	uncharacterized LOC102723506	102723506	https://www.ncbi.nlm.nih.gov/gene/?term=102723506
C15orf48	C15orf48	chromosome 15 open reading frame 48	84419	https://www.ncbi.nlm.nih.gov/gene/?term=84419
ARL8B	ARL8B	ADP ribosylation factor like GTPase 8B	55207	https://www.ncbi.nlm.nih.gov/gene/?term=55207
CD69	CD69	CD69 molecule	969	https://www.ncbi.nlm.nih.gov/gene/?term=969
KLF4	KLF4	Kruppel like factor 4	9314	https://www.ncbi.nlm.nih.gov/gene/?term=9314
EBI3	EBI3	Epstein-Barr virus induced 3	10148	https://www.ncbi.nlm.nih.gov/gene/?term=10148
DOLK	DOLK	dolichol kinase	22845	https://www.ncbi.nlm.nih.gov/gene/?term=22845
FBXO31	FBXO31	F-box protein 31	79791	https://www.ncbi.nlm.nih.gov/gene/?term=79791
LINC00266-3	LINC00266-3	long intergenic non-protein coding RNA 266-3	441123	https://www.ncbi.nlm.nih.gov/gene/?term=441123
TNFSF10	TNFSF10	TNF superfamily member 10	8743	https://www.ncbi.nlm.nih.gov/gene/?term=8743
IGFBP6	IGFBP6	insulin like growth factor binding protein 6	3489	https://www.ncbi.nlm.nih.gov/gene/?term=3489
CD276	CD276	CD276 molecule	80381	https://www.ncbi.nlm.nih.gov/gene/?term=80381
SNORD13	SNORD13	small nucleolar RNA, C/D box 13	692084	https://www.ncbi.nlm.nih.gov/gene/?term=692084
MIR4278	MIR4278	microRNA 4278	100422999	https://www.ncbi.nlm.nih.gov/gene/?term=100422999
DUSP5	DUSP5	dual specificity phosphatase 5	1847	https://www.ncbi.nlm.nih.gov/gene/?term=1847
TNFSF14	TNFSF14	TNF superfamily member 14	8740	https://www.ncbi.nlm.nih.gov/gene/?term=8740
