"","Interval","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Chr","Start","End","Strand","Annotation","Distance.to.TSS","Nearest.PromoterID","Entrez.ID","Nearest.Unigene","Gene.Name","gc_content","length"
"1","Interval_73064",632.456946747453,0.481417483918505,0.162180876067605,2.96839859045912,0.00299355862981761,0.999977161094692,"chr7",123534224,123535462,"+","promoter-TSS (IQUB)",-1895,"IQUB","IQUB","rna34651","IQUB",0.598062953995157,1238
"2","Interval_62022",1544.47821417399,0.317658782740956,0.129009344950332,2.46229281191415,0.0138051908999026,0.999977161094692,"chr5",91380010,91384124,"+","intron (ARRDC3-AS1, intron 1 of 2)",1265,"ARRDC3","ARRDC3","NM_020801","ARRDC3",0.479222357229648,4114
"3","Interval_48423",35.7107921051656,1.38077149264038,0.563125277497434,2.45197924479012,0.014207285645664,0.999977161094692,"chr21",38874700,38875912,"+","Intergenic",6119,"FLJ45139","FLJ45139","rna81492","FLJ45139",0.482275350370981,1212
"4","Interval_73502",55.7202878969,1.09675189438943,0.463765156471474,2.36488636346464,0.0180356039609901,0.999977161094692,"chr7",138161444,138162472,"+","Intergenic",38155,"MIR4468","MIR4468","rna35048","MIR4468",0.412050534499514,1028
"5","Interval_43524",514.932338471572,0.404812101990998,0.171978452880343,2.35385360904865,0.0185799266467025,0.999977161094692,"chr2",180980012,180981878,"+","promoter-TSS (UBE2E3)",-91,"UBE2E3","UBE2E3","XM_005246244","UBE2E3",0.647562935190145,1866
"6","Interval_25663",72.0627995679714,-0.893238405790288,0.395618806356188,-2.25782594618638,0.0239565129355105,0.999977161094692,"chr15",41512389,41514202,"+","intron (LTK, intron 1 of 17)",592,"LTK","LTK","XM_005254381","LTK",0.395131086142322,1813
"7","Interval_73008",143.577721779624,0.649201011160823,0.29005987403449,2.2381620805766,0.025210487461293,0.999977161094692,"chr7",117773386,117774328,"+","intron (CTTNBP2, intron 5 of 19)",17485,"CTTNBP2","CTTNBP2","NM_033427","CTTNBP2",0.428419936373277,942
"8","Interval_4893",939.077396269384,-0.333950806958265,0.149650219453655,-2.23154238047533,0.0256452235005694,0.999977161094692,"chr1",159923037,159925866,"+","promoter-TSS (TAGLN2)",1091,"TAGLN2","TAGLN2","NM_003564","TAGLN2",0.614487632508834,2829
"9","Interval_40089",50.8363785818137,1.11040024283589,0.498334845055749,2.22822115261008,0.0258657711920004,0.999977161094692,"chr2",59024580,59026153,"+","intron (LINC01122, intron 11 of 13)",-192342,"AC007131.1","AC007131","rna10218","AC007131.1",0.416137229987294,1573
"10","Interval_5572",49.0728116958928,1.08621853833253,0.489252095670175,2.22016123782695,0.0264078245034079,0.999977161094692,"chr1",180428885,180429680,"+","intron (ACBD6, intron 4 of 7)",9097,"MIR3121","MIR3121","rna6915","MIR3121",0.384422110552764,795
"11","Interval_30807",53.8002918437417,-0.997188641938152,0.45212079355752,-2.20558013731631,0.0274134110822839,0.999977161094692,"chr17",6948216,6949209,"+","Intergenic",-50099,"ALOX12","ALOX12","NM_000697","ALOX12",0.361490683229814,993
"12","Interval_54195",44.7564853881559,-1.08485692212043,0.501058135118477,-2.16513184016843,0.0303775902364781,0.999977161094692,"chr3",143167995,143168778,"+","Intergenic",48610,"CHST2","CHST2","NM_004267","CHST2",0.391581632653061,783
"13","Interval_14073",59.00654318387,-0.978678090756519,0.452465960115549,-2.16298722340701,0.0305421623203461,0.999977161094692,"chr11",67032208,67034227,"+","intron (SYT12, intron 2 of 7)",11348,"SYT12","SYT12","NM_001177880","SYT12",0.459685863874346,2019
"14","Interval_16460",22.5964757874284,-1.56439964698539,0.724087937514593,-2.16051057604293,0.0307331657699476,0.999977161094692,"chr12",7757947,7759173,"+","Intergenic",-6656,"NANOGNB","NANOGNB","NM_001145465","NANOGNB",0.437138728323699,1226
"15","Interval_39446",1320.15122428047,-0.281971372875734,0.130777604423695,-2.15611361072344,0.0310747949670715,0.999977161094692,"chr2",38074552,38077650,"+","promoter-TSS (CYP1B1)",80,"CYP1B1","CYP1B1","NM_000104","CYP1B1",0.655372700871249,3098
"16","Interval_55255",564.806198948563,-0.357673327048901,0.166563271753166,-2.14737212642501,0.0317636678789648,0.999977161094692,"chr3",183635163,183637058,"+","intron (KLHL24, intron 1 of 6)",491,"KLHL24","KLHL24","XM_006713674","KLHL24",0.65295358649789,1895
"17","Interval_56415",1598.67489486714,0.268883995482481,0.125971419260633,2.13448413188204,0.0328031712213885,0.999977161094692,"chr4",15001262,15003642,"+","promoter-TSS (CPEB2)",-407,"CPEB2-AS1","CPEB2-AS1","rna20610","CPEB2-AS1",0.685006299874003,2380
