"","Interval","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Chr","Start","End","Strand","Annotation","Distance.to.TSS","Nearest.PromoterID","Entrez.ID","Nearest.Unigene","Gene.Name","gc_content","length"
"1","Interval_44814",17.5171334715999,-2.37790221142444,0.716738650640473,-3.31766984981145,0.000907717076180019,0.999974094976848,"chr2",226023781,226024486,"+","Intergenic",-118661,"LOC646736","LOC646736","rna14246","LOC646736",0.398016997167139,705
"2","Interval_10240",52.5931783175923,1.33296734066867,0.424475843291378,3.14026666472435,0.00168794111682367,0.999974094976848,"chr10",77636101,77638854,"+","exon (KCNMA1, exon 1 of 29)",331,"KCNMA1","KCNMA1","NM_001161352","KCNMA1",0.44791260241904,2753
"3","Interval_12497",11.0941924134693,-2.04009575179944,0.660181917724629,-3.09020240789204,0.00200020134967677,0.999974094976848,"chr11",10130897,10131493,"+","intron (SBF2, intron 2 of 39)",163009,"SBF2","SBF2","NM_030962","SBF2",0.470115967885816,596
"4","Interval_50161",1716.74629642927,0.621727994156313,0.201347692357032,3.08783272794534,0.00201621923707122,0.999974094976848,"chr22_KI270733v1_random",166426,171081,"+","Intergenic",-8652,"LOC102724621","LOC102724621","rna83968","LOC102724621",0.778350515463917,4655
"5","Interval_68002",1234.0483093798,-0.527644259412175,0.174249128874965,-3.02810271029127,0.00246094428771049,0.999974094976848,"chr6",117675033,117679355,"+","intron (NUS1, intron 1 of 4)",1740,"NUS1","NUS1","NM_138459","NUS1",0.479296784640296,4322
"6","Interval_26760",92.3784598471762,0.802627738243197,0.265972300789509,3.01771175367017,0.00254691032842317,0.999974094976848,"chr15",72196827,72198206,"+","intron (GRAMD2, intron 1 of 11)",279,"GRAMD2","GRAMD2","NM_001012642","GRAMD2",0.355243351731059,1379
"7","Interval_36359",748.795842449595,0.475370583976215,0.15812761522748,3.00624646297458,0.00264494520847811,0.999974094976848,"chr19",10870922,10871844,"+","promoter-TSS (CARM1)",-287,"CARM1","CARM1","XM_005259708","CARM1",0.460743801652893,922
"8","Interval_11184",16.6635896448986,1.98537650643786,0.670862460611494,2.95943896551937,0.00308199745481993,0.999974094976848,"chr10",103789287,103790197,"+","intron (SH3PXD2A, intron 2 of 15)",28838,"LOC102724324","LOC102724324","rna45591","LOC102724324",0.543169398907104,910
"9","Interval_44825",35.0159212771389,1.33420633796525,0.452924895926505,2.94575623898084,0.00322166180284674,0.999974094976848,"chr2",226307407,226308549,"+","Intergenic",165184,"LOC646736","LOC646736","rna14246","LOC646736",0.37007874015748,1142
"10","Interval_31138",27.8599605241675,1.5469550615363,0.535046039631895,2.89125597976687,0.00383705444612887,0.999974094976848,"chr17",16427875,16429296,"+","intron (TRPV2, intron 9 of 13)",-10402,"FAM211A-AS1","FAM211A-AS1","rna67894","FAM211A-AS1",0.361490683229814,1421
